Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
AC160334.4,9[+]78027945-78028089,0,0,0,0,0,0,0,0,0
AC113527.1,9[-]59499361-59512865,0,0,0,0,0,0,0,0,0
AC161596.2,9[+]31559609-31579634,0,0,0,0,0,0,0,2,0
5830454E08Rik,9[+]120577331-120578074,52,133,110,47,107,76,49,65,52
Gm45520,8[-]14065788-14067818,0,0,0,0,0,0,0,0,0
Gm45383,7[+]136353364-136356270,0,0,0,0,0,0,0,0,0
Gm45538,8[+]81061334-81069803,0,0,0,0,0,0,0,0,0
Gm18414,8[+]42769434-42770127,0,0,0,0,0,0,0,0,0
4930465I24Rik,8[+]11678808-11682211,0,0,0,0,0,0,0,0,0
Gm18640,7[+]11528853-11533146,0,0,0,0,0,0,0,0,0
Gm45281,7[+]15971883-15984654,12,6,0,3,9,3,0,0,3
Gm43453,5[-]39253950-39307084,0,0,0,0,0,0,0,0,0
Gm45651,8[+]60757119-60757453,0,0,0,0,0,0,0,0,0
Olfr654,7[+]104587025-104590718,0,0,0,0,0,0,0,0,0
Rnf103,6[+]71493894-71510881,251,450,306,1169,269,249,438,328,1424
Gm14717,X[-]76246984-76261392,0,0,0,0,0,0,0,0,0
3300002P13Rik,7[-]3421665-3423445,0,0,0,6,0,16,0,0,0
Gm18716,6[+]65416020-65417622,0,0,0,0,0,0,0,0,0
Gm24139,5[+]134204469-134204756,0,0,0,0,0,0,0,0,4
Mir1905,3[-]88536301-88536382,0,0,0,0,0,0,0,0,0
Gm44828,6[-]130953357-130953462,0,0,0,0,0,0,0,0,0
Gm44124,6[-]120579705-120580176,0,0,0,0,0,0,0,0,0
Gm44104,6[-]99658442-99662218,6,6,0,7,0,0,0,0,10
Mir6244,9[+]52115623-52115739,0,0,0,0,0,0,0,0,0
Gm24140,14[-]17884808-17885133,0,0,0,0,0,0,0,0,0
Gm45021,6[+]48589610-48613250,0,0,0,0,0,0,0,0,0
Gm24141,9[+]74362610-74362724,0,0,0,0,0,0,0,0,0
Gm27152,9[+]71948879-71948977,1,1,1,0,1,0,0,0,3
Olfr656,7[+]104613955-104621603,0,0,0,0,0,0,0,0,0
Gm27175,14[+]69502856-69523605,0,0,1,0,0,0,0,0,0
Snora7a,6[-]115807975-115808114,23,1,1,1,1,1,1,19,1
Gm24143,11[-]72616006-72616150,0,0,0,0,0,0,0,0,0
Gm27796,19[-]17060137-17060397,0,0,0,0,0,0,0,0,0
Gm24145,16[-]11167105-11167267,0,0,0,2,0,0,0,0,0
Dot1l,10[+]80755206-80795461,4597,9172,5663,1553,2449,1868,1800,863,2634
Lyg2,1[-]37905923-37916493,0,0,0,0,0,0,0,0,0
Gm24639,7[-]59443631-59443709,0,0,0,0,0,0,0,0,0
Mrgprb8,7[+]48388526-48389648,0,0,0,0,0,0,0,0,0
Spata31d1a,13[-]59700083-59706197,0,2,3,0,7,0,0,1,2
A730017C20Rik,18[+]59062248-59076962,0,0,0,0,0,0,2,2,0
Rassf4,6[-]116633008-116673952,1393,1590,361,739,939,217,1444,571,1721
Gm43018,5[-]132439255-132440529,0,0,0,0,0,0,0,0,0
Gm42934,5[+]101956607-101957951,0,0,0,4,0,0,0,0,2
Gm24147,X[-]37667233-37667376,0,0,0,0,0,0,0,0,0
Gm24148,1[-]86352008-86352087,0,0,0,1,0,0,0,0,1
Gm17775,3[+]113729232-113729489,0,0,0,0,0,0,0,0,0
Gm5711,3[-]121380259-121380679,15,4,0,7,2,2,6,0,26
Gm9678,3[-]98581153-98588290,0,0,0,0,0,0,0,0,0
Gm42585,5[+]25369020-25373039,0,0,0,15,0,0,6,4,15
Gm42633,5[-]125318681-125321444,0,6,0,2,0,0,2,0,2
Gm43245,3[-]102389540-102390007,0,0,0,3,0,0,0,0,0
Lgals7,7[+]28863853-28866284,9,12,0,10,18,5,0,0,0
Gm24152,4[-]9695645-9695807,0,0,0,0,0,0,0,0,0
Ogfod2,5[+]124112297-124115483,542,2360,1750,553,1129,1679,717,297,529
Gm20810,Y[+]28733498-28734193,0,0,0,0,0,0,0,0,0
Gm28968,Y[-]72635212-72635907,0,0,0,0,0,0,0,0,0
Triqk,4[+]12906838-12983553,16,23,10,107,15,12,76,81,220
BC051076,5[+]87963485-87966352,0,0,0,0,0,0,0,0,0
Gm16234,10[+]14664220-14668318,0,38,0,16,0,0,0,7,27
Gm9988,8[-]88138079-88138517,4,4,7,6,8,5,0,0,1
Vmn1r178,7[+]23893529-23894443,0,0,0,0,0,0,0,0,0
Gm42549,6[-]28219167-28226170,10,2,2,11,0,0,4,0,55
Olfr651,7[+]104550133-104554422,0,0,0,0,0,0,0,0,0
4933439J24Rik,5[+]134919788-134920640,0,0,0,0,0,0,0,0,0
Gm28592,10[-]111506575-111507662,0,0,2,0,0,0,1,0,0
Gm29258,7[-]39308367-39312129,0,0,0,0,0,0,0,0,0
Gm7478,5[+]117058812-117059392,0,0,0,0,0,0,0,1,0
Gm28783,1[+]17124747-17128956,0,0,0,0,0,0,0,0,0
Armc9,1[+]86154780-86278284,300,732,253,140,336,300,318,81,364
Tubb4a,17[-]57080066-57087782,325,889,340,232,317,621,614,286,169
Lilrb4a,10[+]51480612-51496613,35,41,9,77,17,2,51,75,171
Btbd17,11[-]114791217-114795945,16,22,15,5,11,26,14,0,15
2700089I24Rik,19[+]59493136-59559391,0,0,0,0,0,0,0,0,0
Gm29117,Y[+]50544517-50547755,0,0,0,0,0,0,0,0,0
AC079245.1,9[+]75876260-75877713,0,0,0,0,0,0,0,0,0
AC154699.1,9[-]18298833-18300651,11,2,4,2,6,0,0,0,2
AC126459.1,9[-]43996471-43998593,2,3,2,0,2,0,0,4,19
Gm44902,7[+]74886264-74887068,0,0,0,0,0,0,0,0,0
Zfp146,7[-]30161269-30169750,1024,974,519,593,462,228,1059,393,1262
Nudt1,5[+]140321656-140338137,318,702,380,198,366,300,322,179,228
Gm24153,7[-]59683586-59683679,0,0,0,0,0,0,0,0,0
AL773585.1,2[+]85669822-85672240,0,0,0,0,0,0,0,0,0
Gm5472,15[-]45978358-45980037,3,3,2,1,1,1,0,0,1
Gm9242,16[+]97490047-97491120,27,1,0,24,1,0,16,7,53
Clcn7,17[+]25133391-25162104,2291,4867,1897,1308,2688,1736,1853,787,1678
Golga2,2[+]32287384-32307921,4748,6862,2735,2209,4950,4502,4016,1948,2632
BC061195,X[+]93183227-93183946,0,0,0,0,0,0,0,0,0
Gm43524,3[+]130757461-130757758,0,1,0,1,1,0,0,0,1
Alg5,3[+]54735539-54751318,1380,904,221,1469,192,205,1524,576,1447
Ighv1-85,12[-]116000028-116000461,38,50,8,0,36,0,6,0,10
Gm28680,Y[-]49984024-49984503,0,0,0,0,0,0,0,0,0
Gm29500,1[+]163607377-163610269,0,0,0,0,0,0,0,0,0
Skor2,18[+]76856405-76900342,0,0,0,0,0,0,0,0,0
Lamtor3,3[+]137918506-137928900,1227,1881,589,1600,611,396,988,824,1681
Gm29450,Y[-]68353849-68357085,0,0,0,0,0,0,0,0,0
Gm8918,12[-]104228917-104230003,0,2,6,0,0,0,0,2,0
Vmn2r87,10[-]130471332-130497379,0,0,0,0,0,0,0,0,0
Gm21634,Y[-]63500905-63501598,0,0,0,0,0,0,0,0,0
Gm9775,9[+]88856756-88857086,0,0,0,0,0,0,0,0,0
Gm17484,8[+]25754480-25769704,62,101,58,49,58,66,87,32,31
Zfp422-ps,17[-]33305040-33305745,41,71,45,9,34,10,37,7,32
Atf5,7[-]44812256-44816658,9656,26842,15846,7923,5298,11980,6300,5560,3795
Tk2,8[-]104226685-104248558,518,871,1004,587,608,730,895,1057,1180
Gm29274,Y[-]42459558-42462795,0,0,0,0,0,0,0,0,0
Gm44382,8[-]90790826-90790947,0,0,0,0,0,0,0,0,0
CT010462.1,12[-]29104487-29106850,0,0,0,2,0,0,0,0,0
Cyp24a1,2[-]170482708-170497145,0,0,0,2,0,0,0,0,0
Ift172,5[-]31253277-31291116,1414,2450,1028,820,1426,1355,1369,649,1255
AC130821.2,13[-]94754202-94754593,0,0,0,0,0,0,0,0,0
Gm26698,12[-]86891404-86892567,18,28,27,19,36,19,14,20,28
Efl1,7[+]82648614-82777852,542,912,433,392,535,421,515,326,725
AC122886.1,13[+]19820739-19821678,0,0,0,0,0,0,0,0,0
AC125484.1,13[-]9001432-9076451,0,0,0,0,0,0,0,17,3
Gm17690,3[-]96167464-96172416,74,110,47,96,42,41,117,9,160
Gm17540,9[+]40531155-40533620,0,0,0,0,0,0,0,0,0
Gm26699,6[-]38551531-38554007,3,2,0,0,0,4,0,0,0
6030443J06Rik,5[+]22550432-22807850,16,50,24,11,9,46,22,8,23
AC114412.1,12[+]35602544-35694682,0,0,0,0,0,0,0,0,0
Gm26700,10[+]92162103-92164690,0,0,0,0,0,0,0,0,0
Gm26701,13[-]33700473-33701102,0,0,0,0,0,0,0,0,0
Rad9b,5[-]122323223-122354233,166,796,560,167,537,409,239,68,222
Scn1b,7[-]31116524-31127003,3291,8029,3818,1571,4941,8475,3435,1236,2163
Ccdc121,1[-]181509633-181511451,0,0,0,0,0,0,0,0,0
Pnpla5,15[-]84112621-84123175,25,45,46,26,32,24,11,0,8
Sult4a1,15[-]84076097-84105754,16,33,19,0,0,8,0,0,0
Trpv4,5[-]114622152-114658421,421,1407,731,205,801,1645,455,148,176
Fdxr,11[-]115268024-115277050,628,1713,1206,393,1104,1265,637,583,681
Chst13,6[-]90308349-90325185,10,21,24,25,15,31,4,0,9
Gm29368,Y[-]58717540-58720772,0,0,0,0,0,0,0,0,1
Igkv17-121,6[+]68036812-68037318,83,8,0,0,7,0,36,0,114
Gm29026,Y[+]36940688-36941002,0,0,0,0,0,0,0,0,0
Gm10184,17[-]89908511-89910449,94,8,0,82,2,2,43,51,116
Gm28266,9[-]98925174-98925612,0,1,0,0,0,0,1,0,0
CT030184.1,13[+]13283832-13284247,0,0,0,0,0,0,0,0,0
Gm28319,1[-]51138281-51141222,0,2,0,0,0,0,0,0,0
Igkv9-123,6[-]67954228-67954714,30,3,0,0,8,0,0,0,6
Olfr844,9[+]19316347-19320097,0,0,0,0,0,0,0,0,0
AC133087.1,13[+]7633044-7633191,0,0,0,0,0,0,0,0,0
Nck2,1[+]43444579-43570515,913,1667,1092,522,1186,1152,945,383,836
Gm29216,1[-]24615706-24616197,8580,1062,1781,370746,1657,3024,327999,1055813,264733
Gm14002,2[-]125207529-125217512,0,0,0,0,0,0,0,0,0
AC167012.1,13[-]44363836-44391117,0,0,0,0,0,0,0,0,0
Atp5l-ps1,7[+]62476306-62476617,10,3,1,44,1,1,57,10,13
Tmem40,6[-]115729131-115762410,14,19,14,8,43,13,22,3,4
Dkk3,7[-]112116017-112159057,125,262,88,37,146,51,123,64,175
Micalcl,7[+]112368308-112413106,0,0,0,0,0,0,3,0,0
Parva,7[+]112427505-112591692,2986,3468,876,4667,747,1294,4968,2195,632
Ilf2,3[+]90476126-90488379,1416,1020,327,1424,596,279,1310,959,2130
Chtop,3[-]90498956-90509498,1235,2607,1852,1546,1750,959,1306,1276,2207
Trat1,16[-]48734690-48771956,63,26,9,2,40,0,14,22,109
Pak1,7[+]97788541-97912381,270,106,53,68,102,29,222,171,316
Snapin,3[-]90488026-90491033,1297,2418,736,584,886,902,896,627,761
Gm11523,11[-]96862997-96873954,0,0,0,0,0,0,0,0,0
Gm44919,7[+]82342268-82343340,0,0,0,0,0,0,0,0,0
Gm45111,7[-]119600840-119604780,0,0,0,0,0,0,0,0,0
AC164597.1,15[+]60742837-60746535,0,0,0,0,0,0,0,0,0
B930025P03Rik,8[-]10870422-10882454,4,6,0,0,0,0,0,0,0
Gm18943,7[-]99247605-99248820,9,1,0,5,0,0,5,2,7
Gm19127,7[-]108579038-108581482,0,0,0,0,0,0,0,0,0
Gm18306,7[-]23447588-23448156,0,0,0,0,0,0,0,0,0
Gm21034,7[-]50966796-50969403,0,0,0,0,0,0,0,0,0
Gm34272,7[+]57894840-57895092,0,0,0,0,0,0,0,0,0
Nat8l,5[+]33995984-34005916,15793,39755,18099,10741,11366,15438,14366,3704,5865
Nwd1,8[+]72646711-72717876,12,4,9,12,2,0,6,0,10
Sprr2e,3[+]92352143-92353449,0,0,0,0,0,0,0,0,0
Olfr420,1[+]174155633-174162195,0,2,0,0,0,0,0,0,1
Npm3-ps1,6[+]85076192-85076719,20,24,9,1,16,5,7,0,6
Gemin5,11[-]58120002-58168539,860,1129,545,463,707,389,625,350,732
Vmn1r-ps68,7[-]12404101-12404499,0,0,0,0,0,0,0,0,0
Gm20430,14[+]57698013-57698219,8,2,0,4,1,0,3,1,13
4932438A13Rik,3[+]36863104-37053033,1207,499,123,1373,231,54,1409,657,4230
Gm20548,5[+]101837416-101846410,1,4,0,0,7,0,5,0,4
Vmn2r-ps83,7[-]86073150-86083782,0,0,0,0,0,0,0,0,0
Gm20532,2[+]26586639-26635634,51,25,20,13,4,0,2,9,8
Vmn1r-ps64,7[+]12201702-12202356,0,0,0,0,0,0,0,0,0
Vmn1r-ps62,7[+]12113265-12114541,0,0,0,0,0,0,0,0,0
Gm20539,2[-]18742715-18760862,2,0,0,1,0,0,13,4,8
Tmem97,11[-]78541817-78550777,579,1155,499,618,501,427,540,390,459
Calr3,8[-]72424176-72443870,90,91,44,126,49,91,271,28,164
Mir292b,7[-]3219198-3219259,1,0,0,0,0,0,0,0,0
Gm18980,6[-]67778250-67779328,0,0,0,0,0,0,0,0,0
Gm43073,3[-]97273876-97275064,0,0,0,0,0,0,0,2,0
Igkv9-128,6[+]67847409-67847874,0,0,0,0,0,0,0,0,0
Syne4,7[+]30314807-30319046,32,65,44,12,49,24,14,13,88
Mir6516,11[+]117077348-117077457,1,1,1,1,1,1,1,1,1
Mir3087,2[+]25442779-25442834,0,0,0,0,0,0,0,0,0
AC135669.1,10[+]45680957-45681525,0,0,0,0,0,0,0,0,0
AC126257.3,9[-]56798962-56801261,2,0,0,0,0,0,0,0,0
AC153955.1,10[+]44647518-44662496,0,0,0,0,0,0,0,0,0
AC138739.1,9[-]104001760-104002339,0,0,0,0,0,0,0,0,0
AC069559.2,9[+]38456452-38457523,0,0,0,0,0,0,0,0,0
AC126672.1,9[+]61442591-61455947,0,0,0,0,0,0,0,0,0
Gm43592,5[+]107868474-107869638,17,40,41,25,6,47,15,13,14
Gm42926,3[-]121029086-121029782,0,0,0,0,0,0,0,0,0
Pcdhgb2,18[+]37689828-37841873,187,261,83,72,363,623,119,12,878
Gm37598,1[-]177074484-177075784,0,0,0,0,0,0,0,0,0
Ccnk,12[+]108179579-108203359,997,1531,659,586,1086,766,1361,587,1302
Cyp46a1,12[+]108334381-108362234,28,68,20,6,13,39,30,12,28
0610007P14Rik,12[-]85815448-85824550,565,1130,308,500,457,286,490,297,955
Tgfb3,12[-]86056745-86079041,613,1322,536,291,549,1153,877,344,431
Pcdhga11,18[+]37755731-37841873,192,77,38,46,257,556,218,0,12
Gm23156,9[+]108844478-108844563,1,2,3,0,1,0,0,0,0
Vash1,12[+]86678700-86692091,94,83,87,53,65,73,73,64,67
Angel1,12[-]86700502-86726460,426,869,361,150,536,439,308,129,291
Gpatch2l,12[+]86241858-86291784,926,1078,336,497,461,204,668,444,973
Esrrb,12[+]86361117-86521628,30,53,6,19,0,11,0,5,10
Prom1,5[-]43993620-44102032,19,22,0,52,0,2,44,19,70
Gm9550,14[+]43940997-43941858,0,0,0,0,0,0,0,0,0
Cd38,5[+]43868553-43912375,2030,1325,215,987,437,87,1079,1081,2533
D730045A05Rik,18[+]74017907-74020088,0,0,0,0,0,0,0,0,0
Bst1,5[+]43818885-43843986,798,974,472,91,879,117,169,180,853
2810442N19Rik,1[+]162004969-162016494,0,2,0,1,0,0,4,0,2
5730480H06Rik,5[+]48327952-48414294,177,219,82,238,82,65,242,190,426
Kcnip4,5[-]48389502-49524907,4,0,0,16,0,0,0,14,11
Zscan4f,7[+]11397915-11402318,0,0,0,0,0,0,0,0,0
AC151971.1,9[-]44596563-44598018,0,0,0,0,0,0,0,0,0
Gm1043,5[+]37154430-37229547,50,51,31,0,35,2,10,34,48
Zscan18,7[-]12768090-12803635,31,15,9,15,15,6,22,20,35
Olfr1340,4[+]118720138-118729395,0,0,0,0,0,0,0,0,0
Mir3074-2,8[-]84208825-84208907,0,0,0,0,0,0,0,0,0
Olfr1052,2[+]86292455-86299233,0,0,0,0,0,0,0,0,0
Psmc1,12[+]100110154-100123405,3770,4802,1277,4944,1811,1067,4045,2106,4458
Hoxa13,6[-]52257694-52260880,0,0,0,0,0,0,0,0,0
Gm7237,19[-]33409131-33420642,0,0,0,0,0,0,0,0,2
AC164424.5,12[+]20615302-20615440,1,1,1,1,1,1,1,0,1
AC114010.1,12[-]67822018-67822396,0,0,0,0,0,0,0,0,0
AC132344.3,13[-]34865795-34866577,1,1,1,2,0,0,0,1,5
AC170913.1,13[-]8199247-8200494,0,0,0,0,0,0,0,0,0
CT025556.3,13[-]75700162-75707172,0,0,0,0,0,0,0,0,0
AC102569.2,12[+]15102442-15104203,0,0,0,0,0,0,0,0,0
AC167420.1,12[+]63355784-63357904,0,0,0,1,0,0,0,0,0
AC159263.3,13[-]95421217-95421676,0,0,0,0,0,0,0,0,0
AC124465.1,13[+]43683120-43701064,0,0,0,0,0,0,0,0,0
AC153663.3,12[-]24302807-24308251,0,0,0,0,0,0,0,0,0
Bcl6,16[-]23965052-23988852,3373,6346,2217,1211,2214,4121,1074,821,3452
Nubp1,16[+]10411948-10424428,1358,2463,1920,648,2536,814,748,929,1246
Prm1,16[-]10796326-10796886,2,2,0,0,3,0,0,4,0
Litaf,16[-]10959275-11066157,2299,4170,2167,2323,3431,2965,2949,1651,2294
1810013L24Rik,16[+]8830100-8858916,914,619,490,1784,373,364,1268,826,2540
Emp2,16[-]10281749-10313968,757,1124,282,452,474,435,1241,291,751
Ciita,16[+]10488178-10527564,4568,5766,3239,120,6442,436,659,951,2851
Gm24154,7[-]112618096-112618225,0,0,0,0,0,0,0,0,0
Mir3473c,1[-]191998554-191998634,1,1,0,0,0,0,1,0,1
Gm24155,3[+]118434721-118434830,0,0,0,0,0,0,0,0,0
Gm24157,11[-]52099043-52099153,1,0,0,0,0,1,1,0,1
Mir15a,14[-]61632027-61632110,0,0,0,0,0,0,0,0,0
Gm24158,11[-]97660257-97660327,1,1,3,0,1,1,2,1,4
Gm24159,8[-]93933835-93933936,0,0,0,0,0,0,0,0,0
Gm43076,3[+]97730339-97736166,23,18,0,15,0,7,50,18,15
Snord52,17[-]34950952-34951017,1,1,1,1,0,0,1,1,1
Gm37761,1[+]95738196-95740293,0,0,0,0,0,0,0,0,0
Gm37249,9[+]99307583-99310451,79,8,0,51,6,0,51,14,45
Gm37250,1[+]93531815-93534202,0,0,0,0,0,0,0,0,0
Gm18658,3[-]6378332-6378601,0,0,0,1,0,0,0,0,0
Bzw2,12[-]36091835-36158080,1399,2288,832,1275,934,492,1003,958,1847
Gm3933,1[-]138915605-138916043,0,0,0,0,0,0,0,0,0
Gm37607,1[-]58383512-58386134,8,2,0,75,0,0,6,57,151
Pnliprp1,19[+]58728887-58744169,9,2,0,0,0,0,0,0,0
4930480E11Rik,X[+]78369643-78371128,0,0,0,0,0,0,0,0,0
Gm38084,Y[-]13091542-13093901,0,0,0,0,0,0,0,0,0
1110065P20Rik,4[-]124849080-124851196,476,2733,2515,438,1174,2951,874,279,328
Gm37608,7[+]79516882-79518761,0,0,0,0,0,0,0,0,0
Gm37609,8[+]121140943-121141620,0,0,0,0,0,0,0,0,0
Gm37610,6[+]41081587-41091983,0,0,0,0,0,0,0,0,0
Gm37611,9[-]73551843-73553870,0,0,0,0,0,0,0,0,0
Gm37612,9[+]106870674-106871501,0,0,0,3,0,0,0,2,2
Gm37613,7[+]49195541-49199120,0,0,0,0,0,0,0,0,0
Gm37614,9[-]88826604-88826813,0,0,0,0,0,0,0,0,0
Gm37615,15[+]63505715-63517474,0,0,0,0,0,0,0,0,0
Gm24161,4[-]126818016-126818145,0,0,0,0,0,0,0,0,0
Alpk1,3[-]127670310-127780527,200,123,51,100,115,19,155,41,286
Aimp1,3[-]132660499-132684370,1496,1157,228,981,601,305,1142,1075,1430
Gm12887,4[-]121614271-121622103,0,0,0,0,0,0,0,0,0
Enpep,3[-]129269175-129332720,1494,1533,723,3112,1394,1339,3382,874,2700
Pitx2,3[+]129199878-129219591,0,0,0,2,0,65,0,0,0
Glrb,3[-]80843599-80913660,2,0,0,0,0,0,7,0,6
Gm37597,3[-]44718132-44718513,0,0,0,0,0,0,0,0,0
Tmco2,4[-]121105651-121109226,0,0,0,0,0,0,0,0,0
Gm23911,7[+]58005205-58005338,0,0,0,0,0,0,0,0,0
n-R5s71,11[+]74319792-74319910,0,0,0,0,0,0,0,0,0
Gm24162,1[-]20444811-20444912,0,0,0,0,0,0,0,0,0
Fam20a,11[-]109669749-109722279,277,776,265,179,266,891,562,191,150
1700012B07Rik,11[-]109787651-109828046,0,7,0,0,3,0,0,0,0
Gna13,11[+]109362831-109401369,2420,2960,1077,1787,1232,523,1779,778,3007
Gm24163,13[+]75905147-75905278,0,0,0,0,0,0,0,0,0
Gm24164,16[+]62571036-62571139,0,0,0,0,0,0,0,0,0
Prkar1a,11[+]109649405-109669656,8158,14589,8102,8264,7380,6033,7006,3233,11008
Nctc1,7[-]142544609-142558596,0,0,0,23,0,45,17,0,0
Adam26b,8[-]43519762-43528106,0,0,0,0,0,0,0,0,0
Gm12070,11[+]26786633-26787634,10265,22448,11385,3853,6952,6398,3938,1842,1110
Gm15486,1[-]157497931-157511721,0,0,0,0,0,0,0,0,0
Gm13093,4[-]150113879-150119263,0,0,4,0,0,0,0,0,0
Emx2os,19[-]59425104-59458635,35,41,25,31,15,64,68,40,72
4930586N03Rik,13[+]23313525-23385799,0,0,0,0,0,0,0,0,0
Gm11884,4[+]23260784-23392503,0,0,0,0,0,0,0,0,0
Gm11782,4[-]5545238-5551223,0,0,0,0,0,0,0,0,0
6330403K07Rik,11[-]71031941-71033513,28,10,5,2,22,4,4,21,24
Slc13a3,2[-]165405028-165473230,168,265,304,40,705,304,207,80,35
Dapk2,9[+]66158223-66272242,242,269,187,314,246,404,356,255,320
Fam96a,9[+]66126611-66138955,1264,2173,940,2158,752,439,1132,1008,1898
Cemip,7[-]83932857-84086502,26,29,8,0,29,0,0,0,31
Ppib,9[+]66060222-66066623,10561,21627,10177,4231,14048,8930,8153,4150,5369
Csnk1g1,9[+]65908924-66045015,467,639,41,346,310,22,138,255,561
Trip4,9[-]65828930-65908794,383,430,80,1328,198,62,856,717,1728
Rbpms2,9[+]65629648-65660528,2613,7405,3696,2909,1058,1931,2807,893,1254
Spg21,9[+]65460947-65488470,2995,4711,2124,3997,2258,2810,4324,2017,3968
Cyp2d11,15[-]82389154-82394022,0,0,2,0,0,0,0,0,0
Cyp2d9,15[+]82452377-82456827,0,2,2,3,2,0,0,569,2
Gm9791,3[-]34005017-34005463,139,312,202,42,80,115,102,17,24
Camsap3,8[+]3587293-3609075,292,927,328,110,178,437,252,52,147
4931406B18Rik,7[-]43492044-43505940,0,0,0,0,0,0,0,0,0
Grxcr1,5[+]68031835-68166398,0,0,0,0,0,0,0,0,0
Cyp2d40,15[-]82759835-82764183,0,0,0,0,0,0,0,34,0
Gm32181,Y[-]26325925-26329160,0,0,0,0,0,0,0,0,0
Capza1,3[-]104822779-104864505,1659,1008,61,2834,138,45,1835,1968,5175
Ccdc125,13[+]100669481-100697240,444,743,57,204,243,18,270,221,556
Zfp689,7[-]127442136-127449158,175,478,325,113,415,270,182,121,204
Fkrp,7[-]16809246-16816732,1214,2041,1252,701,1340,1113,1172,264,1034
Cdca2,14[-]67676331-67715841,130,83,59,95,157,15,75,5,85
H2-M10.5,17[+]36772910-36776234,0,0,0,0,0,0,0,0,0
Gm24165,2[+]32831989-32832116,0,0,0,0,0,0,0,0,0
Gm26746,14[-]5531178-5531664,0,0,0,0,0,0,0,0,0
Gm4763,7[-]24715023-24726908,0,0,0,0,0,0,0,0,0
Dram1,10[-]88322804-88379080,4727,4027,1770,5497,1883,2288,7656,1612,5518
Fcer1g,1[-]171229572-171234365,2474,4613,918,1030,2088,1098,2687,1693,1919
Gm38245,1[-]189913339-189915959,0,0,0,2,0,0,2,0,3
Olfr406,11[+]74259808-74271625,0,0,0,0,0,0,0,0,0
Clic4,4[-]135213969-135272814,9466,17099,5074,11119,6643,4004,11680,3564,10478
Egfem1,3[+]29082023-29691209,0,0,0,2,0,0,0,2,6
Zfp692,11[+]58307069-58314627,682,1412,554,318,882,628,512,527,778
Gm21720,Y[-]88952366-88953061,0,0,0,0,0,0,0,0,0
Gm29213,Y[-]46872413-46872940,0,0,0,0,0,0,0,0,0
1700065J18Rik,1[+]192841661-192842740,0,0,0,0,0,0,0,2,2
Gm25376,10[+]103121236-103121368,0,0,0,0,0,0,0,0,0
Cecr2,6[+]120666369-120771190,229,204,64,264,51,51,281,141,322
Smco2,6[+]146850104-146871406,0,0,0,0,0,0,0,0,0
2810454H06Rik,6[+]134897961-134901108,19,49,37,46,22,17,30,37,71
Gm24166,9[-]44736813-44736947,0,0,0,2,0,0,1,0,0
Gm29196,Y[+]5986815-5987432,0,0,0,0,0,0,0,0,0
Gm28743,Y[-]81875412-81878760,0,0,0,0,0,0,0,0,0
Timm8a2,14[+]122034674-122038420,4,12,0,6,0,0,0,4,2
Olfr402,11[+]74153529-74158161,0,0,0,0,0,0,0,0,0
Olfr403,11[+]74186249-74198612,0,0,0,0,0,0,0,0,0
AL450317.2,9[+]102486790-102487080,0,0,0,0,0,0,0,0,0
Gm15756,6[-]90596697-90599948,2,6,0,0,0,0,6,0,0
Gm23181,1[-]95039934-95040043,0,0,0,0,0,0,0,0,0
Atp1a1,3[-]101576219-101604684,7640,11946,5295,2626,8937,3351,3598,2059,5445
Gm42887,5[-]69503842-69504960,2,3,0,2,1,1,2,4,4
Dis3,14[-]99076634-99099770,192,158,20,411,54,8,306,225,752
Cdx1,18[-]61018862-61036199,4,0,0,0,2,0,0,0,0
AC131743.2,13[+]9268684-9274143,0,0,0,0,0,0,0,0,0
Cd74,18[+]60803848-60812646,110494,227990,97244,4840,188840,50292,41058,23433,45605
Tcof1,18[-]60813755-60848971,2933,5358,3435,600,5487,1701,1171,1842,2633
Chd9,8[+]90828352-91054516,1993,3841,1283,1902,1322,1626,2233,2147,3425
Tmx3,18[+]90510154-90543267,42,58,64,1465,40,23,197,502,3489
Camk2a,18[+]60925618-60988152,54,151,19,150,67,71,12,59,149
Gm42575,5[+]74749882-74754438,0,0,0,0,0,0,0,0,0
n-R5s67,11[+]6273311-6273424,0,0,0,2,0,0,0,0,1
Spata17,1[-]187044648-187215465,29,48,14,61,2,4,34,2,17
Esrrg,1[+]187608791-188214885,94,136,44,169,6,2,43,11,71
Bpnt1,1[+]185332149-185357777,2626,5710,1979,2634,1129,1331,2267,625,1856
Frem1,4[-]82897920-83052339,26,10,0,19,0,2,12,20,56
Eprs,1[+]185363044-185428360,3805,4947,675,3187,979,463,3341,1366,3304
Slc30a10,1[+]185454848-185468762,0,2,0,0,0,0,0,19,0
Iars2,1[-]185284726-185329396,6047,8521,2090,5119,1666,1255,4497,1986,3951
Eno1b,18[+]48045335-48048378,5552,7160,2985,3582,2360,980,2430,3239,1417
Klk1b9,7[+]43976061-43980376,0,0,0,0,0,0,0,0,0
Lrriq4,3[+]30644507-30672431,0,0,0,0,0,0,0,0,0
Gm34964,7[-]144787041-144791808,0,0,0,0,0,0,0,0,0
4932438H23Rik,16[-]91053935-91095122,0,2,0,2,0,0,3,0,2
Bc1-ps1,7[-]93660238-93660555,0,0,0,0,0,0,0,0,0
