st_gene_id	gene_id	gene_symbol	exp_I_0_1	exp_I_0_2	exp_I_0_3	exp_I_2_1	exp_I_2_2	exp_I_2_3	exp_I_7_1	exp_I_7_2	exp_I_7_3
G10090_15943	71724	Aox3	0.03	0.08	0.04	0.72	0.68	0.75	2.17	2.22	2.15
G10090_1423	74855	Fam228a	0.02	0.04	0.02	0.21	0.17	0.08	0.12	0.21	0.25
G10090_17085	214899	Kdm5a	4.78	4.92	5.11	7.05	6.05	6.39	6.05	5.85	6.53
G10090_5383	234564	Ces1f	0	0	0.03	0.07	0.06	0	1.34	1.2	1.29
G10090_14201	14700	Gng10	55.87	56.92	59.86	41.67	45.6	45.41	49.89	45.13	40.81
G10090_27008	64295	Tmub1	5.15	4.43	4.49	4.93	4.39	4.74	7.76	8.69	8.7
G10090_15981	252967	Ropn1l	1.43	1.44	2.12	1.86	1.17	1.74	2.14	2.02	2.48
G10090_17904	230676	Szt2	4.14	4.37	4.39	6.97	7.04	6.09	4.51	4.29	4.35
G10090_33515	13492	Drd5	0.02	0	0	0	0	0	0	0	0.04
G10090_2999	223672	Apol9a	4.98	4.75	5	0.13	0.08	0	4.03	1.22	1.57
G10090_6866	22678	Zfp2	0.85	0.82	0.78	0.74	0.65	0.58	1.42	1.06	1.21
G10090_21812	66536	Nipsnap3b	16.95	16.75	18.52	12.5	13.36	14.95	13.97	13.43	12.24
G10090_14348	235599	6430571L13Rik	0.11	0.02	0.12	0.02	0.02	0	0.02	0.16	0.05
G10090_7006	327766	Tmem26	1.15	1.42	0.91	0.16	0.15	0.13	0.55	0.42	0.49
G10090_20136	100043348	Gm10045	0	0	0.34	0.03	0.96	1.07	0.53	0	0
G10090_19640	16775	Lama4	36.33	40.74	37.67	110.92	120.48	112.6	125.03	120.91	120.58
G10090_2635	237711	Eml6	0.32	0.44	0.39	0.44	0.56	0.41	0.51	0.49	0.45
G10090_656	382045	Adgrg5	0.21	0.07	0.15	0	0	0.02	0.06	0.02	0.07
G10090_24769	28018	Ubfd1	14.37	13.5	13.02	14.89	14.85	15.85	12.83	11.7	12.9
G10090_7791	15950	Ifi203	0.8	1.02	0.71	1.38	1.08	1.08	15.2	9.04	9.44
G10090_3885	66573	Dzip1	13.03	15.91	14.13	23.84	22.66	24.17	23.36	22.94	23.64
G10090_3907	16502	Kcnc1	0	0	0	0	0.01	0.01	0	0.01	0
G10090_27924	57329	Otor	0	0	0	0	0	0	0	0	0.08
G10090_30350	20753	Sprr1a	0.84	0.63	0.87	0.18	0.78	1.54	0.34	0.6	0.19
G10090_27039	11554	Adrb1	0.14	0.2	0.1	0	0.1	0.02	0.02	0.07	0.08
G10090_32012	52357	Wwc2	27.73	31.46	29.38	10.7	9.83	10.09	16.6	19.06	17.71
G10090_10418	71566	Clmp	36.71	38.96	35.43	69.91	75.22	76.15	53.25	52.03	57.78
G10090_33421	70356	St13	108.83	110.41	103.57	112.1	117.74	118.41	103.87	106.33	100.37
G10090_23503	230837	Asap3	3.06	3.2	3.09	12.23	13.53	13.46	13.42	13.39	12.66
G10090_9250	64209	Herpud1	50.88	52.64	49.35	14.4	17.94	14.56	51.73	51.7	51.24
G10090_13275	228807	Zfp341	1.41	1.88	1.34	1.97	1.64	1.58	1.47	1.55	1.28
G10090_1619	277496	Lkaaear1	0	0.1	0	0	0	0	0	0.11	0
G10090_15068	69912	Nup43	12.39	12.64	14.67	7.26	8.72	7.25	4.22	3.3	4.09
G10090_17223	117167	Steap4	0.06	0.08	0.06	6.32	9.49	7.58	27.65	30.86	26.64
G10090_23275	278795	Lrrc10b	0	0.03	0	0.03	0.03	0.12	0	0.06	0.16
G10090_459	100039795	Ildr2	2.91	3.21	3.04	0.63	0.71	0.72	2.7	3.09	3.06
G10090_20161	234836	Il17c	0	0	0	0.11	0	0	0	0	0
G10090_23934	330409	Cecr2	0	0	0	0.01	0.02	0.02	0.01	0.01	0.02
G10090_27473	108671	Dnajc9	31.16	32.33	31.06	25.09	27.29	29.51	10.48	8.42	10.22
G10090_1558	20411	Sorbs1	22.63	22.9	24.67	11.81	10.37	9.18	11.36	13.21	13.45
G10090_17062	109218	Tmem139	0.05	0.06	0.08	0.06	0.12	0.11	0.05	0.04	0.06
G10090_18528	103080	10-Sep	12.13	12.62	13.75	12.06	11.04	11.25	9.12	10.2	10.16
G10090_16754	70617	Fam241a	0.45	0.36	0.35	0.47	0.81	0.57	0.72	0.53	0.8
G10090_9114	243846	Ccdc9	8.31	7.46	8.04	9.32	7.98	9.43	11.04	11.58	10.62
G10090_2037	93765	Ube2n	94.43	89.52	87.83	80.48	81.35	76.5	57.71	52.65	52.41
G10090_4303	72147	Zbtb46	1.85	1.81	1.6	2.43	1.47	1.62	1.26	1.44	1.64
G10090_31342	66958	Tmx2	23.97	23.33	20.78	28.55	28.68	29.88	22.16	20.33	19.77
G10090_19740	94220	Cnnm4	4.86	4.93	5.55	4.78	4.11	4.4	1.87	1.95	1.89
G10090_4567	27028	Ermap	0	0.04	0.17	0	0	0.01	0.04	0.04	0.01
G10090_31282	66834	Acot13	15.74	19.24	17.97	15.4	16.71	16.12	25.43	22.96	24.46
G10090_33339	67606	Fibin	28.43	32.56	29.07	12.29	11.95	13.33	16.28	17.23	14.81
G10090_18766	107815	Scml2	0.8	1.21	0.97	0.76	0.96	0.75	0.38	0.51	0.42
G10090_1083	97961	Nol12	21.79	20.88	19.59	20.01	21	22.01	16.59	17.57	16.09
G10090_21047	67236	Cinp	13.52	12.45	12.26	11.76	10.18	12.45	8.49	7.58	6.19
G10090_13955	497071	Rnase13	0	0	0	0	0.04	0	0	0	0
G10090_22393	72121	Dennd2d	0.59	0.27	0.44	0.03	0.03	0.02	0.14	0.18	0.25
G10090_2857	76872	Ccdc116	1.16	1.15	1.04	0.27	0.36	0.21	0.24	0.38	0.26
G10090_3397	26443	Psma6	78.71	70.09	74.84	73.77	67.65	72.08	51.99	45.01	51.39
G10090_20618	75196	Ankrd7	0.21	0.18	0.17	0.34	0.24	0.28	0.08	0.15	0.1
G10090_24963	236690	Nyx	0.03	0.07	0.02	0.05	0.08	0.05	0.07	0.02	0.11
G10090_15249	70911	Phyhipl	3.43	4.3	3.77	8.26	7.51	6.42	2.61	3.38	2.59
G10090_5981	69930	Zfp715	4.58	4.65	5.11	6.22	5.87	6.34	4.65	4.87	4.41
G10090_22846	100043387	Gm14305	4.45	4.94	5.01	5.68	5.9	6.04	5.4	4.96	5.27
G10090_9384	58222	Rab37	0.24	0.08	0.22	0.06	0.03	0	0.05	0.08	0.09
G10090_30950	14555	Gpd1	0.06	0.31	0.15	13.42	11.63	10.18	10.6	15.33	14.46
G10090_2957	14411	Slc6a12	0.7	0.76	0.82	0.54	0.34	0.26	0.36	0.08	0.14
G10090_22107	26889	Cln8	5.68	5.8	6.22	5.01	4.83	5.4	6.5	6.3	5.92
G10090_13094	83984	Tssk6	0.79	0.71	0.76	0.67	0.42	0.44	0.68	0.37	0.95
G10090_3121	19363	Rad51b	1.34	1.09	1.39	1.73	1.5	1.3	0.67	0.99	0.86
G10090_26718	208691	Eif5a2	2.77	2.52	2.45	1.48	1.66	1.63	2.33	2.5	2.8
G10090_5942	22025	Nr2c1	5.16	5.47	5.39	5.72	5.9	6.09	6.89	7	6.92
G10090_10512	243362	Stard13	8.9	10.33	9.53	4.88	4.57	5.02	4.65	5.07	4.98
G10090_21158	271970	Arsj	2.22	2.48	2.21	1.25	1.54	1.28	2.56	2.71	2.34
G10090_13140	26885	Casp8ap2	6.47	7.16	6.9	5.97	5.88	5.9	2.86	3.07	3
G10090_14367	232313	Gxylt2	7.27	7.44	7.14	6.33	5.65	5.27	16.52	18.54	15.72
G10090_3585	98758	Hnrnpf	175	184.56	189.95	169.2	164.58	177.18	107.17	100.3	96.26
G10090_21044	22335	Vdac3	88.67	88.3	83.55	68.05	65.74	70.41	56.49	51.85	53.28
G10090_28753	56222	Cited4	0.15	0.1	0.1	3.66	3.18	2.1	0.49	0.8	0.39
G10090_12913	16828	Ldha	485.02	470.44	469.02	450.97	453.11	482.38	325.5	268.71	288.07
G10090_20882	20266	Scn1b	16.45	14.79	14.64	37.28	39.17	33.41	60.65	58.41	58.29
G10090_30357	117590	Asb10	0	0	0	0	0	0	0.03	0.08	0.06
G10090_23044	230075	Ndufb6	32.46	28.47	32.49	32.17	29.51	30.9	24.62	20.19	20.39
G10090_4716	100862085	Gm16867	7.97	7.28	9.73	7.98	8.11	8.44	5.26	4.45	5.81
G10090_4128	108086	Rnf216	15.16	16.94	15.41	20.12	19.84	19.97	15.65	15.7	15.28
G10090_14697	75221	Dpp3	28.83	27.46	26.97	22.89	22.91	26.22	20.12	19.58	22.03
G10090_7204	237073	Rbm41	2.76	2.9	2.78	3.1	2.9	3.11	2.35	2.74	2.23
G10090_9356	331063	Gsdmc2	0.03	0	0	0	0	0	0	0	0
G10090_12750	16367	Irs1	11.84	12.7	11.52	5.93	5.81	4.79	11.94	13.68	13.11
G10090_379	270028	Fam155a	0.04	0.14	0.04	0	0.04	0.04	0	0.04	0.04
G10090_8612	277463	Gpr107	19.21	19.47	19.14	23.4	23.55	21.96	22.59	22.63	21.62
G10090_33061	66950	Tmem206	3.7	3.6	3.38	1.42	1.32	1.27	2.61	2.48	2.54
G10090_1385	68778	Gucd1	7.75	8.1	7.88	8.32	9.12	8.47	8.07	8.32	7.85
G10090_26170	70701	Nipal1	1.79	2.11	2.28	1.25	1.01	1.32	1.48	1.09	1.33
G10090_5103	20190	Ryr1	0.06	0.04	0.06	0.04	0.02	0.04	0	0.01	0.01
G10090_461	230721	Pabpc4	109.44	101.59	103.74	83.29	88.51	88.58	56.16	57.17	53.71
G10090_3955	18392	Orc1	3.16	3.76	3.87	2.36	2.48	2.31	0.31	0.41	0.43
G10090_14552	20394	Scg5	0	0	0	0	0	0	0.05	0	0
G10090_6581	69225	Naxd	19.35	17.35	17.76	33.96	34.06	34.34	26.5	24.71	24.77
G10090_22237	19166	Psma2	98.18	96.08	102.45	86.58	78.15	85.29	73.29	59.79	63.43
G10090_2764	73750	Whrn	4.57	3.75	4.01	2.5	2.16	2.28	1.81	1.94	1.69
G10090_9549	232430	Crebl2	1.8	1.88	2.01	3.23	3	2.66	7.23	7.65	7.51
G10090_21819	106582	Nrm	6.18	7.5	7.67	10.79	10.05	9.05	3.5	2.57	2.99
G10090_3674	21897	Tlr1	1.04	1.56	1.17	0.11	0.13	0.06	0.79	0.86	0.91
G10090_19309	74030	Rin2	4.89	5.09	5.02	15.36	14.61	13.92	28.41	28.96	26.91
G10090_21189	67341	Ascl4	0.05	0	0	0	0	0	0	0	0
G10090_10548	330554	Fan1	1.86	2	2.05	2.95	2.57	2.98	2.43	2.71	2.67
G10090_22411	20017	Polr1b	7.74	7.47	7.09	10.38	10.55	10.24	3.15	3.55	3.24
G10090_10167	12539	Cdc37	105.3	103.44	99.78	86.27	85.2	86.94	74.11	72.15	73.24
G10090_16314	56527	Mast1	0.24	0.34	0.22	0.27	0.15	0.06	0.38	0.39	0.22
G10090_3561	103406	Zfr2	0.38	0.39	0.46	1.55	1.32	1.41	3.11	2.57	2.48
G10090_26150	258745	Olfr689	0	0	0	0	0	0	0	0.07	0
G10090_18661	67369	Qpctl	10.97	10.9	10.65	15.49	14.87	13.15	10.83	10.8	11.61
G10090_22625	209588	Sectm1a	0	0	0.04	0.24	0.46	0.42	0.84	1.13	1.07
G10090_9321	233649	Cnga4	0	0	0.01	0.02	0.02	0.08	0.02	0.03	0.05
G10090_4406	17703	Msx3	0	0	0	0	0	0	0	0	0.03
G10090_12001	11881	Arsb	20.37	22.21	19.61	34.57	31.9	29.8	45.32	45.88	43.25
G10090_28163	66844	Ormdl2	9.48	8.61	8.49	8.16	7.11	5.16	8.93	7.66	8.41
G10090_11473	16009	Igfbp3	2.62	2.21	2.3	48.87	57.81	52.09	201.34	262.4	212.75
G10090_2728	11431	Acp1	22.36	21.83	22.89	19.86	18.17	19.79	13.61	12.67	12.53
G10090_26444	78977	Popdc3	0.04	0	0.04	0.1	0.15	0.08	0.08	0.08	0.04
G10090_4840	15251	Hif1a	77.26	80.42	80.14	128.8	126.58	138.82	110.17	100.62	101.78
G10090_11077	76826	Nubpl	3.14	3.97	2.52	1.75	1.71	2.01	2.62	2.19	2.17
G10090_8732	15227	Foxf1	3.25	2.44	3.06	1.21	0.94	1.01	1.11	1.03	1.19
G10090_18279	106565	Dlk2	1.43	1	1.82	0.36	0.44	0.13	0.1	0.09	0.15
G10090_21338	12164	Bmp8b	0.26	0.17	0.16	0	0	0.06	0.08	0.04	0.13
G10090_9210	77252	9430038I01Rik	1.35	1.14	1.2	1.75	1.89	1.71	1.69	1.59	2.04
G10090_5215	394430	Ugt1a10	0	0.04	0.03	0	0	0	0	0	0
G10090_20456	74142	Lonp1	50.61	47.58	48.81	25.24	28.88	28.59	32.49	30.37	29.43
G10090_9262	214290	Tut7	14.17	16.42	14.99	18.32	17.56	18.33	18.11	16.98	17.1
G10090_13517	68272	Rbm28	16.92	17.53	18.5	16.07	16.28	18.67	10.1	8.78	10.31
G10090_10722	218544	Sgtb	4.51	4.49	5.83	6.63	6.1	6.37	3.56	4.4	4.17
G10090_4592	23908	Hs2st1	22.62	22.23	23.81	23.17	23.84	23.65	17.39	16.56	16.86
G10090_22100	24113	Vax2	2.98	2.55	3.51	2.16	2.47	2.76	3.89	4.59	3.96
G10090_8735	11796	Birc3	5.67	5.76	5.2	3.69	4.6	4.74	7.62	7.78	7.3
G10090_2572	21813	Tgfbr2	48.43	58.8	50.38	211.91	213.92	219.52	178.02	174.3	179.34
G10090_5150	68775	Atp6v1c2	0.04	0	0.08	0	0.08	0	0.08	0.1	0.17
G10090_22965	244871	Zc3h12c	1.67	1.61	1.96	1.63	1.16	1.52	1.71	1.6	1.48
G10090_31175	668310	Cc2d2b	0	0	0	0.01	0	0	0	0.01	0.01
G10090_21002	22717	Zfp59	1.46	1.52	1.59	1.42	1.7	1.65	1.3	1.3	1.12
G10090_2628	110842	Etfa	38.07	35.55	36.94	42.51	40.1	44.41	40.45	45.29	40.39
G10090_21982	432530	Adcy1	1.02	1.05	0.98	0.55	0.59	0.55	0.84	1.35	1.01
G10090_33702	12007	Azgp1	0	0	0	0	0	0	0	0.05	0
G10090_26621	625599	Gml	0	0.09	0.09	0	0.09	0.17	0.09	0	0
G10090_7818	67116	Cuedc2	25.99	24.07	23.09	19.04	21.84	21.28	29.64	28.68	29.91
G10090_20788	16783	Lamp1	320.27	338.01	325.98	314.52	299.93	322.43	447.25	444.39	448.56
G10090_19478	12111	Bgn	3059.37	3131.05	3043.81	2735.38	2813.43	2705.89	5001.53	5392.2	5219.88
G10090_6049	71924	Tube1	1.49	1.45	1.54	1.16	1.33	1.69	0.36	0.31	0.18
G10090_7587	16191	Il5	0.04	0.04	0.04	0.04	0	0.04	0.16	0.04	0
G10090_4060	170460	Stard5	5.02	4.22	4.34	5.05	5.3	4.82	4.19	3.91	4.18
G10090_4518	18596	Pdgfrb	134.12	137.27	135.63	59.98	57.02	59.44	132.48	137.52	142.41
G10090_15220	100041585	Amd2	0.41	0.55	0.44	0.51	0.37	0.32	0.22	0.13	0.32
G10090_21358	66890	Lman2	42.4	40.37	38.36	57.64	58.28	58.73	52.28	47.82	51.34
G10090_11903	67792	Rgs8	0.08	0.04	0.05	0.1	0.03	0.08	0.26	0.32	0.17
G10090_2103	109552	Sri	23.64	20.93	21.25	20.21	18.8	21.61	27.77	25.83	25.27
G10090_22230	16160	Il12b	0	0.02	0	0.02	0	0	0	0	0
G10090_18033	212547	Nepro	8.55	8.53	8.38	7.96	8.59	9.37	5.14	5.51	5.87
G10090_3183	54351	Elp5	30.71	32.54	26.58	27.32	25.79	27.43	22.59	16.68	17.38
G10090_11398	67288	Srek1ip1	7.52	7.71	8.6	6.78	6.69	7.55	7.1	7.07	8.15
G10090_26961	27984	Efhd2	23.74	20.9	23.11	17.44	19.52	18.45	20.43	20.32	19.98
G10090_14834	193796	Kdm4b	3.95	3.11	4.22	8.61	8.85	8.6	8.16	7.71	8.91
G10090_20316	76916	Timmdc1	13.58	11.17	11.74	11.97	12.98	13.67	8.28	8.22	9
G10090_14839	18693	Pick1	2.54	2.59	2	1.14	1.35	1.4	3.11	3.63	4.24
G10090_17644	242297	Fam110b	3.78	4.85	4.22	4.42	4.96	4.65	5.41	6.33	5.48
G10090_14000	69441	1700023F06Rik	0.28	0.98	0.22	0.05	0.11	0.14	0.43	0.43	0.72
G10090_12522	102640806	Gm36787	0.78	0.92	1.07	0.54	0.45	0.61	0.59	0.35	0.49
G10090_6255	67201	Glod4	14.34	14.7	14.16	19.16	18.52	20.32	16.24	14.63	14.32
G10090_27136	66419	Mrpl11	6.93	6.61	6.36	5.68	5.22	6.24	5.35	4.23	4.3
G10090_1336	381677	Vgf	5.17	3.65	4.54	12.6	10.37	12.08	0.79	1.39	1.59
G10090_22950	76703	Cpb1	0.04	0	0	0	0	0	0	0	0
G10090_22653	12181	Bop1	29.07	27.5	26.44	35.22	37.14	34.62	16.24	13.73	13.83
G10090_10729	12467	Cct6b	0	0.04	0.03	0.04	0	0.22	0.23	0.3	0.22
G10090_8492	66441	Magohb	22.01	19.84	20.02	8.15	7.59	9.36	7.56	7.07	5.81
G10090_33159	105734727	Gm27021	0.87	0.68	0.65	0.76	0.84	0.35	0.11	0.53	0.43
G10090_29518	193736	Zbtb12	5.62	6.42	6.1	4.15	4.86	5.12	6.35	7.73	6.31
G10090_15732	242022	Frem2	0.01	0	0.01	0.01	0	0.02	0	0	0.01
G10090_9634	140742	Sesn1	3.72	3.67	3.61	11.16	11.88	11.29	12.99	12.53	12.9
G10090_20049	620913	Gm12185	0.07	0.09	0.07	0	0.01	0	0.1	0.04	0.06
G10090_28462	14422	B4galnt2	0.02	0.01	0.06	0.04	0.03	0.04	0.2	0.28	0.2
G10090_13847	50915	Grb14	32.13	33.22	32.39	7.61	9.02	6.72	27.43	25.55	27.31
G10090_466	30953	Schip1	7.69	7.72	7.81	1.14	0.87	1.04	2.16	2.21	2.46
G10090_4687	241201	Cdh7	0	0	0	0.01	0	0	0	0	0
G10090_3400	14088	Fancc	4.09	3.44	3.39	2	1.97	2.03	3.42	3.02	3.29
G10090_15610	102634746	Gm13201	0	0.02	0.1	0.08	0.13	0.02	0.08	0.14	0.06
G10090_2872	170722	Nxf7	0	0.03	0	0	0	0	0	0	0
G10090_22969	22320	Vamp8	41.54	38.18	37.98	27.06	24.85	24.93	27.4	28.81	29.01
G10090_25278	16351	Ipp	2.59	3.23	2.97	3.53	3.51	3.86	2.12	2.26	2.82
G10090_14824	73634	1700125H20Rik	0.01	0.02	0.08	0	0.02	0.06	0.01	0.03	0
G10090_22884	381629	Atraid	27.91	26.93	24.23	84.47	82.2	72.79	83.76	77.25	75.63
G10090_9008	67144	Lrrc40	14.79	13.66	13.28	11.88	11.95	13.12	7.21	6.41	5.56
G10090_21727	108937	Rnf169	7.3	7.72	6.87	8.65	8.71	8.11	8.35	8.32	8.41
G10090_535	66433	Chchd7	11.48	11.87	12.48	22.02	24.88	18.37	13.02	15.5	12.62
G10090_1579	381626	Rbm33	9.88	10.45	10.04	11.17	10.15	9.06	8.22	8.65	8.86
G10090_32746	195040	Tmem199	11.2	10.15	8.63	9.19	8.2	8.56	5.14	4.45	4.22
G10090_786	20360	Sema6c	2.54	2.19	2.32	2.37	2.55	2.68	4.2	4.13	3.63
G10090_21922	98952	Fam102a	2.34	2.43	2.24	3.06	2.93	2.82	9.87	9.82	10.79
G10090_10037	434484	Sp140	4.3	4	4.11	4.05	4.21	4.13	11.05	8.94	8.25
G10090_12259	238725	Gpr150	0	0.03	0	0	0	0	0	0	0
G10090_26783	545276	Gal3st3	0.05	0	0.02	0.05	0	0.1	0.1	0.05	0
G10090_17841	66237	Atp6v1g2	1.16	0.59	1.42	0.92	0.9	0.99	1.21	1.55	1.46
G10090_10160	12182	Bst1	0	0	0	0.05	0.03	0	0.1	0.05	0.19
G10090_9791	66442	Spc25	26.96	25.76	30.11	24.27	23.39	25.01	3.89	3.47	3.77
G10090_2542	75425	Tti1	9.94	10.03	9.36	10.73	10.87	10.7	7.51	7.08	7.5
G10090_31933	69724	Rnaseh2a	9.61	6.72	7.39	9.7	9.83	9.84	6.52	5.42	5.88
G10090_23508	20498	Slc12a4	32.22	34.2	34.74	26.97	26.56	27.3	28.18	26.11	26.89
G10090_5569	192897	Itgb4	0.23	0.19	0.17	0.07	0.15	0.18	0.28	0.39	0.43
G10090_22092	12632	Cfl2	42.83	43.51	44.41	24.1	23.32	25.45	21.74	21.68	20.72
G10090_1232	19331	Rab19	0	0.25	0.05	0.05	0.2	0	0.63	0.57	0.51
G10090_27412	67609	4930453N24Rik	19.29	21.55	19.04	17.38	17.41	15.66	14.03	13.44	16.28
G10090_23622	215821	Arfgef3	0	0.03	0.01	0	0	0	0.01	0.01	0.01
G10090_31441	12259	C1qa	0.06	0	0.18	0.79	0.06	0.06	6.32	2.36	2.36
G10090_15028	380684	Nefh	0.04	0	0	0	0.01	0.01	0.03	0.03	0
G10090_2308	22635	Zan	0.03	0.03	0.04	0	0	0	0	0.01	0.01
G10090_4642	66492	Zmat2	20.16	19.57	18.89	22.71	21.75	24.57	19.93	17.86	18.6
G10090_29929	24132	Zfp53	3.17	3.1	3.1	3.83	3.44	3.64	2.74	2.84	2.49
G10090_9767	17957	Napb	0.64	0.71	0.81	0.41	0.58	0.37	0.93	0.96	0.82
G10090_25258	93873	Pcdhb2	0.34	0.4	0.43	0.24	0.24	0.13	0.34	0.49	0.47
G10090_12418	80986	Ckap2	31.01	34.88	34.27	24.74	23.71	27.01	8.47	7.26	7
G10090_23188	56088	Psmg1	18.38	17.64	15.29	19.99	22.2	19.33	11.01	10.74	11.33
G10090_9196	67473	Slc47a1	0.05	0.03	0.1	0	0	0.07	0	0	0.03
G10090_26353	56371	Fzr1	28.86	27.18	25.72	19.85	20.88	20.75	13.29	14.06	13.43
G10090_2297	22594	Xrcc1	16.49	15.53	13.87	12.99	15.37	14.16	10.02	9.13	9.35
G10090_6171	74482	Ifitm7	0	0	0	0	0	0.08	0	0	0
G10090_29225	105242668	Gm38821	0	0	0	0	0.04	0	0.08	0.04	0
G10090_23998	17685	Msh2	7.32	7.3	6.62	6.99	6.79	7.37	4.21	4.01	4.02
G10090_11659	56149	Grasp	6.94	5.44	7.5	14.08	15.39	15.04	11.04	11.14	11.55
G10090_10973	245026	Col6a6	0.01	0	0.01	0	0.03	0.01	0.1	0.17	0.12
G10090_14393	245020	Slc35g2	2.56	2.29	2.5	0.84	0.43	0.74	0.73	0.54	0.6
G10090_33388	103266	Tmem263	26.67	26.2	26.53	15.84	17.6	18.92	15.87	16.2	16.26
G10090_25388	667693	Gm8765	0	0	0.05	0	0.02	0.02	0.06	0	0.03
G10090_20345	15368	Hmox1	172.45	147.33	162.15	96.37	87.84	91.12	138.91	126.05	124.83
G10090_17110	58244	Stx6	15.76	16.78	16.5	17.87	17.49	17.93	15.29	14.52	14.13
G10090_2772	11735	Ank3	1.96	2.27	1.95	6.47	6.54	6.17	5.06	4.52	4.82
G10090_15912	66390	Prelid3b	44.22	49.07	49.52	37.73	36.34	38.92	25.58	23.12	24.37
G10090_13894	320404	Itpkb	9.21	8.93	8.6	10.08	9.77	9.34	11.68	11.76	12.77
G10090_27972	57275	Lenep	1.24	0.55	0.43	1.3	0.85	1.26	1.45	3.47	1.63
G10090_5563	74493	Tnks2	24.72	26.57	25.33	27.52	26.39	28.1	26.15	27.67	25.74
G10090_7833	24052	Sgcd	6.8	7.89	6.48	1.2	1.15	1.06	4.72	5.54	5.11
G10090_17567	59057	Zfp24	8.24	8.75	7.63	9.65	9.74	11.36	7.43	7.44	7.45
G10090_29181	12263	C2	1.13	1.02	1.01	1.06	1.08	1.39	21.72	26.62	24.15
G10090_1809	235493	Fam214a	3.87	3.7	4.09	9.06	8.49	8.08	10.44	11.79	10.19
G10090_11838	277414	Trp53i11	2.11	1.6	1.52	0.99	1.23	0.91	1.35	1.59	1.32
G10090_11032	18438	P2rx4	10.34	9.63	9.35	8.24	9.46	9.24	29.93	25.83	26.1
G10090_15182	11475	Acta2	2320.3	2157.17	2237.92	173.5	187.4	170.87	348.47	321.84	371.61
G10090_28470	66156	Anapc11	14.91	13.45	13.66	15.98	14.69	14.85	14.78	13.1	12.96
G10090_11065	668225	Fignl2	1.8	1.87	1.79	3.91	4.61	3.98	3.94	3.63	3.66
G10090_23902	69534	Avpi1	14.42	13.51	14.64	4.6	6.2	5.53	9.22	7.26	8.2
G10090_19614	18583	Pde7a	7.55	8.64	7.88	11.92	9.58	9.3	6.28	6.91	6.54
G10090_17663	71591	Zfp251	7.81	7.49	7.59	11.3	10.36	12.48	7.73	7.42	7.63
G10090_25895	14362	Fzd1	21.2	21.89	20.62	99.61	98.33	98.54	58.01	56.36	54
G10090_25992	22186	Uba52	639.57	584.52	578.9	783.96	821.4	802.69	698.08	553.33	501.39
G10090_22062	12848	Cops2	46.59	49.37	46.15	49.78	52.35	51.19	42	37.18	38.06
G10090_12257	68916	Cdkal1	4.79	5.17	5.33	4.27	4.23	4.26	3.7	4.03	3.38
G10090_31520	239133	Dleu7	0.05	0	0	0	0	0	0	0	0
G10090_2549	12260	C1qb	0.18	0.06	0.06	0.5	0.31	0.18	6.87	2.72	2.48
G10090_30280	244653	Hydin	0	0	0	0.01	0.01	0.02	0.01	0.01	0.01
G10090_4856	208092	Chmp6	14.71	14.02	13.86	10.39	10.48	11.08	12.01	9.43	9.69
G10090_5042	234594	Cnot1	36.89	40.11	37.83	35.72	33.73	32.2	24.77	24.49	25.03
G10090_6978	227619	Man1b1	28.53	28.26	29.1	34.81	33.94	36.1	27.04	27.17	24.85
G10090_22940	626870	Gm11992	0.07	0.05	0	0.08	0	0.02	0.05	0.02	0.08
G10090_21572	319185	Hist1h2bl	0.19	0.2	0.19	0	0	0	0	0	0
G10090_6756	19244	Ptp4a2	100.17	107.52	104.49	75.28	79.64	77.37	104.95	102.41	96.81
G10090_10886	319822	Smyd4	2.8	2.74	2.62	1.44	1.94	1.36	1.93	1.79	2.18
G10090_13058	114641	Rpl31	282.37	283.11	261.73	402.32	392.41	398.25	321.16	279.48	323.21
G10090_5490	68865	Arv1	2.98	3.05	3.12	2.98	2.68	2.05	2.31	2.63	2.56
G10090_11367	72315	Ccdc74a	0.39	0.81	1.2	0.91	0.53	0.64	1.57	1.54	1.71
G10090_21099	100039614	Gm20809	0.06	0	0	0	0	0	0	0	0
G10090_16164	234199	Fgl1	0.45	0.49	0.42	0.45	0.31	0.21	0.31	0.74	0.58
G10090_13883	11637	Ak2	46.14	49.32	49.51	53.39	56.9	58.33	30.64	31.7	30.3
G10090_12338	18292	Sebox	0	0	0	0	0	0	0.05	0	0
G10090_1070	19823	Rnf7	35.53	32.75	32.75	35.52	35.04	36.65	25.31	23.38	25.71
G10090_5683	16552	Kif12	0	0	0	0	0	0	0	0	0.09
G10090_1488	12564	Cdh8	0	0	0	0	0	0	0	0.02	0
G10090_30512	16971	Lrp1	270.69	265.54	268.96	555.6	497.19	460.48	379.76	395.16	417.55
G10090_442	57437	Golga7	58.26	62.67	57.88	86.83	87.19	84.33	83.94	77.3	76.07
G10090_16139	81703	Jdp2	32.5	33.13	34.23	13.58	14.56	13.07	35.84	31.94	33.12
G10090_11115	19899	Rpl18	648.27	500.42	534.18	762.67	762.79	748.64	609.62	490.17	462.87
G10090_18477	21812	Tgfbr1	16.25	16.84	17.02	53.61	47.84	54.47	18.86	19.43	18.11
G10090_3947	11352	Abl2	7.72	7.05	7.67	4.7	3.96	4.21	4.51	4.77	4.16
G10090_1400	320365	Fry	0.06	0.09	0.06	0.07	0.1	0.04	0.1	0.11	0.09
