reaction_id,Pathway,lmp_id,gene_name,species_long,gene_symbol,R_lipid,P_lipid
R-HSA-9018877,"LTA4H:Zn2+ hydrolyses 5S,6S-epoxy-18(R)-HEPE to 18(R)-RvE1",LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,"5,6-epoxy,18R-hydroxy-eicosapentaenoic acid",18(R)-resolvin E1
R-HSA-9020252,LTA4H:Zn2+ hydrolyses 7S(8)-epoxy-17(R)-HDHA to AT-RvD1 or AT-RvD2,LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,7S(8)-epoxy-17(R)-hydroxydocosahexaenoic acid,"AT-RvD1, AT-RvD2"
R-HSA-9020253,LTA4H:Zn2+ hydrolyses 4S(5)-epoxy-17(S)-HDHA to RvD3 or RvD4,LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,4S(5)-epoxy-17(S)-hydroxydocosahexaenoic acid,"RvD3, RvD4"
R-HSA-9020257,LTA4H:Zn2+ hydrolyses 17R(16)-epoxy-DHA to AT-(N)PD1,LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,"17R,(16)-epoxy-(4Z,7Z,10Z,13Z,19Z)-docosahexa-4,7,10,13,15,19-enoic acid",aspirin-triggered (neuro)protectin D1
R-HSA-9020258,LTA4H:Zn2+ hydrolyses 7S(8)-epoxy-17(S)-HDHA to RvD1 or RvD2,LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,7S(8)-epoxy-17(S)-hydroxydocosahexaenoic acid,"RvD1, RvD2"
R-HSA-9020270,LTA4H:Zn2+ hydrolyses 4S(5)-epoxy-17(R)-HDHA to AT-RvD3 or AT-RvD4,LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,4S(5)-epoxy-17(R)-hydroxydocosahexaenoic acid,"AT-RvD3, AT-RvD4"
R-HSA-9024890,"LTA4H:Zn2+ hydrolyses 16S,17S-epoxy-DHA to (N)PD1",LMP001056,leukotriene A4 hydrolase,Homo sapiens,LTA4H,"(16S,17S)-epoxy-(4Z,7Z,10Z,12E,14E,19Z)-docosahexaenoic acid","10(R),17(S)-dihydroxy-docosa-4Z,7Z,11E,13E,15Z,19Z-hexaenoic acid"
R-HSA-211873,"CYP4F2, 4F3 20-hydroxylate LTB4",LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,Leukotriene-B(4) omega-hydroxylase,20-OH-Leukotriene B4
R-HSA-211924,CYP4B1 12-hydroxylates ARA,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,FA(20:4)(ARA),12-HETE
R-HSA-211962,CYP4F11 16-hydroxylates 3OH-PALM,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,3-hydroxypalmitate,"3,16-dihydroxypalmitate"
R-HSA-215526,CYP4F3 20-hydroxylates LTB4,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,Leukotriene-B(4) omega-hydroxylase,20-OH-Leukotriene B4
R-HSA-2161745,20oh-LTB4 is oxidised to 20cho-LTB4 by CYP4F2/4F3,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,20-OH-Leukotriene B4,20-oxoleukotriene B4
R-HSA-2161792,20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,20-oxoleukotriene B4,20-hydroxy-20-oxo-leukotriene B4
R-HSA-76466,CYP4A11 12-hydroxylates DDCX,LMP002363,"cytochrome P450, family 4, subfamily F, polypeptide 3",Homo sapiens,CYP4F3,lauric acid,omega-Hydroxydodecanoic acid
R-HSA-2161768,EXA4 is converted to EXC4 by LTC4S,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,eoxin A4,eoxin C4
R-HSA-2161768,EXA4 is converted to EXC4 by LTC4S,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,Reduced glutathione,eoxin C4
R-HSA-2161907,ALOX5 oxidises 15R-HETE to 15epi-LXA4/B4,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,15(R)-HETE,15epi-LXA4/B4
R-HSA-2161917,ALOX5 oxidises 15S-HpETE to LXA4/B4,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,15(S)-HPETE,LXA4/B4
R-HSA-265296,Arachidonic acid is oxidised to 5S-HpETE by ALOX5,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,Arachidonate,"(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid"
R-HSA-266050,LTA4 is converted to LTC4 by LTC4S,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,Reduced glutathione,leukotriene C4
R-HSA-266050,LTA4 is converted to LTC4 by LTC4S,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,leukotriene A4,leukotriene C4
R-HSA-266051,5S-HpETE is dehydrated to LTA4 by ALOX5,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,"(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid",leukotriene A4
R-HSA-9026780,"LTC4S trimer transfers GSH to 13(S),14(S)-epoxy-DHA to form MCTR1",LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,"(13S,14S)-epoxy-(4Z,7Z,9E,11E,16Z,19Z)-docosahexaenoic acid",13(R)-glutathionyl
R-HSA-9026780,"LTC4S trimer transfers GSH to 13(S),14(S)-epoxy-DHA to form MCTR1",LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,Reduced glutathione,13(R)-glutathionyl
R-HSA-9026911,LTC4S trimer transfers GSH to 7S(8)-epoxy-17(S)-HDHA to form RCTR1,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,7S(8)-epoxy-17(S)-hydroxydocosahexaenoic acid,"(8S)-glutathionyl-(7R,17S)-dihydroxy-(4Z,9,11,13Z,15E,19Z)-docosahexaenoic acid"
R-HSA-9026911,LTC4S trimer transfers GSH to 7S(8)-epoxy-17(S)-HDHA to form RCTR1,LMP002479,leukotriene C4 synthase,Homo sapiens,LTC4S,Reduced glutathione,"(8S)-glutathionyl-(7R,17S)-dihydroxy-(4Z,9,11,13Z,15E,19Z)-docosahexaenoic acid"
R-HSA-1606807,Arylsulfatase A hydrolyses sulfate from sulfatide to form cerebroside,LMP002799,arylsulfatase A,Homo sapiens,ARSA,Galactosylceramidesulfate,D-galactosyl-N-acylsphingosine
R-HSA-1606807,Arylsulfatase A hydrolyses sulfate from sulfatide to form cerebroside,LMP002799,arylsulfatase A,Homo sapiens,ARSA,Galactosylceramidesulfate,sulfate
R-HSA-1606839,Steryl sulfatase hydrolyses sulfate from steroid sulfates,LMP006680,"steroid sulfatase (microsomal), isozyme S",Homo sapiens,STS,dehydroepiandrosterone sulfate,dehydroepiandrosterone
R-HSA-1606839,Steryl sulfatase hydrolyses sulfate from steroid sulfates,LMP006680,"steroid sulfatase (microsomal), isozyme S",Homo sapiens,STS,dehydroepiandrosterone sulfate,inorganic sulfate
R-HSA-1606602,Acid ceramidase hydrolyses ceramide into sphingosine and free fatty acid (lysosome),LMP002014,N-acylsphingosine amidohydrolase (acid ceramidase) 1,Homo sapiens,ASAH1,Ceramide,carboxylate
R-HSA-1606602,Acid ceramidase hydrolyses ceramide into sphingosine and free fatty acid (lysosome),LMP002014,N-acylsphingosine amidohydrolase (acid ceramidase) 1,Homo sapiens,ASAH1,Ceramide,sphingosine
R-HSA-372519,AcCho is hydrolyzed to Cho and acetate by ACHE,LMP001073,acetylcholinesterase (Yt blood group),Homo sapiens,ACHE,O-acetylcholine,acetate
R-HSA-372519,AcCho is hydrolyzed to Cho and acetate by ACHE,LMP001073,acetylcholinesterase (Yt blood group),Homo sapiens,ACHE,O-acetylcholine,choline
R-HSA-9023617,Butyrylcholinesterase hydrolyzes acyl Ghrelin,LMP001073,acetylcholinesterase (Yt blood group),Homo sapiens,ACHE,Acyl Ghrelin,Des-acyl Ghrelin
R-HSA-71010,MUT isomerises L-MM-CoA to SUCC-CoA,LMP005084,methylmalonyl CoA mutase,Homo sapiens,MUT,L-methylmalonyl-CoA,Succinyl coenzyme A
R-HSA-191414,MVD decarboxylates MVA5PP to IPPP,LMP001592,mevalonate (diphospho) decarboxylase,Homo sapiens,MVD,Mevalonate-5-pyrophosphate,delta3-isopentenyl-PP
R-HSA-191380,Mevalonate is phosphorylated to mevalonate-5-phosphate,LMP002631,mevalonate kinase,Homo sapiens,MVK,Mevalonate,Mevalonate-5-phosphate
R-HSA-1605724,Neu5Ac is cleaved from GM3 by NEU1 and 4 to form a globoside (lysosomal lumen),LMP001729,sialidase 1 (lysosomal sialidase),Homo sapiens,NEU1,GM3 ganglioside,Lactosylceramide
R-HSA-1605724,Neu5Ac is cleaved from GM3 by NEU1 and 4 to form a globoside (lysosomal lumen),LMP001729,sialidase 1 (lysosomal sialidase),Homo sapiens,NEU1,GM4 ganglioside,sialic acids (N-acetylneuramic acid)
R-HSA-4084999,NEU1 hydrolyses Neu5Ac from glycoconjugates,LMP001729,sialidase 1 (lysosomal sialidase),Homo sapiens,NEU1,glycoconjugates,"Gal-R,GalNAc-R,Neu5Ac-R"
R-HSA-4084999,NEU1 hydrolyses Neu5Ac from glycoconjugates,LMP001729,sialidase 1 (lysosomal sialidase),Homo sapiens,NEU1,glycoconjugates,SA
R-HSA-1605723,Neu5Ac is cleaved from GM3 by NEU2 to form a globoside (cytosol),LMP000194,sialidase 2 (cytosolic sialidase),Homo sapiens,NEU2,GM3 ganglioside,Lactosylceramide
R-HSA-1605723,Neu5Ac is cleaved from GM3 by NEU2 to form a globoside (cytosol),LMP000194,sialidase 2 (cytosolic sialidase),Homo sapiens,NEU2,GM3 ganglioside,SA
R-HSA-4085029,NEU2 hydrolyzes Neu5Ac from glycoconjugates,LMP000194,sialidase 2 (cytosolic sialidase),Homo sapiens,NEU2,glycoconjugates,"Gal-R,GalNAc-R,Neu5Ac-R"
R-HSA-4085029,NEU2 hydrolyzes Neu5Ac from glycoconjugates,LMP000194,sialidase 2 (cytosolic sialidase),Homo sapiens,NEU2,glycoconjugates,SA
R-HSA-8936519,NQO2:FAD dimer reduces quinones to hydroquinones,LMP000592,"NAD(P)H dehydrogenase, quinone 2",Homo sapiens,NQO2,quinone,quinol
R-HSA-8936519,NQO2:FAD dimer reduces quinones to hydroquinones,LMP000592,"NAD(P)H dehydrogenase, quinone 2",Homo sapiens,NQO2,"1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide",1-(beta-D-ribofuranosyl)nicotinamide
R-HSA-141367,Myristoylation of tBID by NMT1,LMP001845,N-myristoyltransferase 1,Homo sapiens,NMT1,BID,MYS-BID
R-HSA-162914,Myristoylation of Nef,LMP001845,N-myristoyltransferase 1,Homo sapiens,NMT1,myristoyl-CoA,myristoylated nef
R-HSA-162914,Myristoylation of Nef,LMP001845,N-myristoyltransferase 1,Homo sapiens,NMT1,nef,myristoylated nef
R-HSA-1675824,"PI(4,5)P2 is dephosphorylated to PI4P by OCRL/INPP5E at the Golgi membrane",LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,"PI(4,5)P2",PI4P
R-HSA-1675836,"PI(3,5)P2 is dephosphorylated to PI3P by SYNJ at the plasma membrane",LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,"PI(3,5)P2 ",PI3P
R-HSA-1675988,PI4P is dephosphorylated to PI by SYNJ at the plasma membrane,LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,PI4P,PI
R-HSA-1855174,"I(1,4,5)P3 is dephosphorylated to I(1,4)P2 by INPP5(4) in the cytosol",LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,"I(1,4,5)P3","I(1,4)P2"
R-HSA-1855213,"I(1,3,4,5)P4 is dephosphorylated to I(1,3,4)P3 by INPP5B at the plasma membrane",LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,"I(1,3,4,5)P4","I(1,3,4)P3"
R-HSA-1855218,"I(1,3,4,5)P4 is dephosphorylated to I(1,3,4)P3 by INPP5[3]/ITPK1 in the cytosol",LMP002091,oculocerebrorenal syndrome of Lowe,Homo sapiens,OCRL,"I(1,3,4,5)P4","I(1,3,4)P3"
R-HSA-6797955,ALDH7A1 oxidises BETALD to BET,LMP000347,"aldehyde dehydrogenase 7 family, member A1",Homo sapiens,ALDH7A1,glycine betaine aldehyde,betaine
R-HSA-70941,alpha-aminoadipoate semialdehyde + NAD+ => alpha-aminoadipate + NADH + H+,LMP000347,"aldehyde dehydrogenase 7 family, member A1",Homo sapiens,ALDH7A1,L-2-Aminoadipate 6-semialdehyde,L-2-Aminoadipate
R-HSA-74177,"OXCT dimers transfer CoA from SUCC-CoA to ACA, forming ACA-CoA",LMP001815,3-oxoacid CoA transferase 1,Homo sapiens,OXCT1,acetoacetate,acetoacetyl-CoA
R-HSA-74177,"OXCT dimers transfer CoA from SUCC-CoA to ACA, forming ACA-CoA",LMP001815,3-oxoacid CoA transferase 1,Homo sapiens,OXCT1,Succinyl coenzyme A,Succinate
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP001247,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)",Homo sapiens,PAFAH1B1,PC,2-lysophosphatidylcholine
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP001247,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)",Homo sapiens,PAFAH1B1,PC,FA
R-HSA-1602368,PG is hydrolyzed to 1-acyl LPG by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PG,1-acyl LPG
R-HSA-1602368,PG is hydrolyzed to 1-acyl LPG by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PG,LCFA
R-HSA-1602398,PE is hydrolyzed to 1-acyl LPE by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PE,1-acyl LPE
R-HSA-1602398,PE is hydrolyzed to 1-acyl LPE by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PE,LCFA
R-HSA-1602417,PC is hydrolyzed to 1-acyl LPC by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PC,1-acyl LPC
R-HSA-1602417,PC is hydrolyzed to 1-acyl LPC by PLA2[16],LMP001975,"phospholipase A2, group III",Homo sapiens,PLA2G3,PC,LCFA
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP001172,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa)",Homo sapiens,PAFAH1B2,PC,2-lysophosphatidylcholine
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP001172,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa)",Homo sapiens,PAFAH1B2,PC,FA
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP000476,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)",Homo sapiens,PAFAH1B3,PC,2-lysophosphatidylcholine
R-HSA-8848484,PLA2s hydrolyze phospholipids at the Golgi membrane,LMP000476,"platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)",Homo sapiens,PAFAH1B3,PC,FA
R-HSA-8869206,PAFAH2 hydrolyses PAF to lyso-PAF and acetate,LMP001092,"platelet-activating factor acetylhydrolase 2, 40kDa",Homo sapiens,PAFAH2,Platelet-activating factor,Acetate
R-HSA-8869206,PAFAH2 hydrolyses PAF to lyso-PAF and acetate,LMP001092,"platelet-activating factor acetylhydrolase 2, 40kDa",Homo sapiens,PAFAH2,Platelet-activating factor,lyso-Platelet-activating factor
R-HSA-1482816,PC is hydrolyzed to 1-acyl LPC by PLA2[6],LMP000150,patatin-like phospholipase domain containing 8,Homo sapiens,PNPLA8,PC,1-acyl LPC
R-HSA-1482816,PC is hydrolyzed to 1-acyl LPC by PLA2[6],LMP000150,patatin-like phospholipase domain containing 8,Homo sapiens,PNPLA8,PC,LCFA
R-HSA-1482887,PE is hydrolyzed to 1-acyl LPE by PLA2[3],LMP000150,patatin-like phospholipase domain containing 8,Homo sapiens,PNPLA8,PE,1-acyl LPE
R-HSA-1482887,PE is hydrolyzed to 1-acyl LPE by PLA2[3],LMP000150,patatin-like phospholipase domain containing 8,Homo sapiens,PNPLA8,PE,LCFA
R-HSA-2464803,RDH8 reduces atRAL to atROL,LMP012384,retinol dehydrogenase 8 (all-trans),Homo sapiens,RDH8,all-trans-retinal (atRAL),all-trans-retinol (atROL)
R-HSA-194642,"4-methyl,4-carboxycholesta-8(9),24-dien-3beta-ol is decarboxylated and oxidized to form 4-methylcholesta-8(9),24-dien-3-one",LMP006706,NAD(P) dependent steroid dehydrogenase-like,Homo sapiens,NSDHL,"4-methyl,4-carboxycholesta-8(9),24-dien-3beta-ol","4-methylcholesta-8(9),24-dien-3-one"
R-HSA-194718,"4-carboxycholesta-8(9),24-dien-3beta-ol is decarboxylated and oxidized to form cholesta-8(9),24-dien-3-one (zymosterone)",LMP006706,NAD(P) dependent steroid dehydrogenase-like,Homo sapiens,NSDHL,"4-carboxycholesta-8(9),24-dien-3beta-ol","cholesta-8(9),24-dien-3-one (zymosterone)"
R-HSA-3065959,An unknown protease degrades hCBXs,LMP000403,"propionyl CoA carboxylase, alpha polypeptide",Homo sapiens,PCCA,mitochondrial holocarboxylases,biocytin
R-HSA-71031,propionyl-CoA + CO2 + ATP <=> D-methylmalonyl-CoA + ADP + orthophosphate,LMP000403,"propionyl CoA carboxylase, alpha polypeptide",Homo sapiens,PCCA,propionyl-CoA,D-methylmalonyl-CoA
R-HSA-71031,propionyl-CoA + CO2 + ATP <=> D-methylmalonyl-CoA + ADP + orthophosphate,LMP000403,"propionyl CoA carboxylase, alpha polypeptide",Homo sapiens,PCCA,propionyl-CoA,orthophosphate
R-HSA-3065959,An unknown protease degrades hCBXs,LMP000406,"propionyl CoA carboxylase, beta polypeptide",Homo sapiens,PCCB,mitochondrial holocarboxylases,biocytin
R-HSA-71031,propionyl-CoA + CO2 + ATP <=> D-methylmalonyl-CoA + ADP + orthophosphate,LMP000406,"propionyl CoA carboxylase, beta polypeptide",Homo sapiens,PCCB,propionyl-CoA,D-methylmalonyl-CoA
R-HSA-71031,propionyl-CoA + CO2 + ATP <=> D-methylmalonyl-CoA + ADP + orthophosphate,LMP000406,"propionyl CoA carboxylase, beta polypeptide",Homo sapiens,PCCB,propionyl-CoA,orthophosphate
R-HSA-2066787,Oxidation of tetracosapentaenoyl-CoA to delta2-tetracosaheptaenoyl-CoA,LMP002411,"acyl-CoA oxidase 1, palmitoyl",Homo sapiens,ACOX1,tetracosapentaenoyl-CoA,delta2-tetracosaheptaenoyl-CoA
R-HSA-390256,"hexacosanoyl-CoA + O2 => trans-2,3-dehydrohexacosanoyl-CoA + H2O2",LMP002411,"acyl-CoA oxidase 1, palmitoyl",Homo sapiens,ACOX1,hexacosanoyl-CoA,"trans-2,3-dehydrohexacosanoyl-CoA"
R-HSA-2162187,DHB is hydroxylated to DHDB by COQ6,LMP002550,coenzyme Q6 monooxygenase,Homo sapiens,COQ6,3-decaprenyl-4-hydroxybenzoic acid,"3-decaprenyl-4,5-dihydroxybenzoic acid"
R-HSA-8952873,MECR dimer reduces tdec2-CoA to DEC-CoA,LMP001079,mitochondrial trans-2-enoyl-CoA reductase,Homo sapiens,MECR,trans-dec-2-enoyl-CoA,decanoyl-CoA
R-HSA-5362721,"RDH5,RDH11 oxidise 11cROL to 11cRAL",LMP001946,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),Homo sapiens,RDH11,11-cis-retinol,11-cis-Vitamin A aldehyde
R-HSA-5419165,"RDH11,14,DHRS3,DRHS4 reduce atRAL to atROL",LMP001946,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),Homo sapiens,RDH11,all-trans-retinal (atRAL),all-trans-retinol (atROL)
R-HSA-193064,Reduction of androstenedione to testosterone,LMP006006,hydroxysteroid (17-beta) dehydrogenase 12,Homo sapiens,HSD17B12,4-Androstene-3,testosterone
R-HSA-548818,"HSD17B3,12 hydrogenates 3OOD-CoA to 3HODC-CoA",LMP006006,hydroxysteroid (17-beta) dehydrogenase 12,Homo sapiens,HSD17B12,3-oxostearoyl-CoA,3-hydroxyoctadecanoyl-CoA
R-HSA-6810594,HSD17B14 tetramer oxidises estradiol (E2) to estrone (E1),LMP006749,hydroxysteroid (17-beta) dehydrogenase 14,Homo sapiens,HSD17B14,beta-estradiol,estrone
R-HSA-1855221,"PI(4,5)P2 is hydrolysed to I(1,4,5)P3 and DAG by tethered PLC[1] at the plasma membrane",LMP005023,"phospholipase C, epsilon 1",Homo sapiens,PLCE1,"phosphatidylinositol 4,5 bisphosphate (PI(4,5)P2)","1,4,5 trisphosphate (I(1,4,5)P3)?"
R-HSA-1855221,"PI(4,5)P2 is hydrolysed to I(1,4,5)P3 and DAG by tethered PLC[1] at the plasma membrane",LMP005023,"phospholipase C, epsilon 1",Homo sapiens,PLCE1,"phosphatidylinositol 4,5 bisphosphate (PI(4,5)P2)",DAG
R-HSA-5686304,ZDHHC2 transfers PALM from PALM-CoA to CKAP4,LMP005663,"zinc finger, DHHC-type containing 2",Homo sapiens,ZDHHC2,Cytoskeleton-associated protein 4,Cytoskeleton-associated protein 4
R-HSA-5686304,ZDHHC2 transfers PALM from PALM-CoA to CKAP4,LMP005663,"zinc finger, DHHC-type containing 2",Homo sapiens,ZDHHC2,palmitoyl-CoA,Cytoskeleton-associated protein 4
R-HSA-8878654,ACP6 hydrolyses MYS-LPA,LMP003686,"acid phosphatase 6, lysophosphatidic",Homo sapiens,ACP6,myristoyl lysophosphatidic acid,1-monomyristoylglycerol
R-HSA-162730,phosphatidylinositol + UDP-N-acetyl-D-glucosamine -> N-acetylglucosaminyl-PI + UDP,LMP000186,"phosphatidylinositol glycan anchor biosynthesis, class P",Homo sapiens,PIGP,PI,N-acetylglucosaminyl-PI
R-HSA-162730,phosphatidylinositol + UDP-N-acetyl-D-glucosamine -> N-acetylglucosaminyl-PI + UDP,LMP000186,"phosphatidylinositol glycan anchor biosynthesis, class P",Homo sapiens,PIGP,UDP-N-acetyl-D-glucosamine,N-acetylglucosaminyl-PI
R-HSA-1483081,PCho and CTP are condensed to CDP-Cho by PCYT1 dimer,LMP001277,"phosphate cytidylyltransferase 1, choline, alpha",Homo sapiens,PCYT1A,cytidine 5'-triphosphate,CDP-choline
R-HSA-1483081,PCho and CTP are condensed to CDP-Cho by PCYT1 dimer,LMP001277,"phosphate cytidylyltransferase 1, choline, alpha",Homo sapiens,PCYT1A,Phosphocholine,CDP-choline
R-HSA-192178,CYP39A1 7-hydroxylates 24OH-CHOL,LMP001831,"cytochrome P450, family 39, subfamily A, polypeptide 1",Homo sapiens,CYP39A1,24-hydroxycholesterol,"Cholest-5-ene-3beta,7alpha,24(S)-triol"
R-HSA-8869425,PLA1A hydrolyses PS to 2-acyl LPS,LMP006631,phospholipase A1 member A,Homo sapiens,PLA1A,PS,2-acyl LPS
R-HSA-8869425,PLA1A hydrolyses PS to 2-acyl LPS,LMP006631,phospholipase A1 member A,Homo sapiens,PLA1A,PS,LCFA
R-HSA-1855157,"1-PP-IP5 is phosphorylated to 1,5-(PP)2-IP4 by IP6K1/2 in the nucleus",LMP001434,inositol hexakisphosphate kinase 2,Homo sapiens,IP6K2,1-PP-IP5,"1,5-(PP)2-IP4"
R-HSA-1855181,"I(1,3,4,5,6)P5 is phosphorylated to 5-PP-IP4 by IP6K1/2 in the nucleus",LMP001434,inositol hexakisphosphate kinase 2,Homo sapiens,IP6K2,"I(1,3,4,5,6)P5",5-PP-IP4
R-HSA-1855207,IP6 is phosphorylated to 5-PP-IP5 by IP6K1/2 in the nucleus,LMP001434,inositol hexakisphosphate kinase 2,Homo sapiens,IP6K2,IP6,5-PP-IP5
R-HSA-1855224,5-PP-IP5 is phosphorylated to 5-PPP-IP5 by IP6K1/2 in the nucleus,LMP001434,inositol hexakisphosphate kinase 2,Homo sapiens,IP6K2,5-PP-IP5,5-PPP-IP5
R-HSA-1855230,"5-PP-IP4 is phosphorylated to 1,5-(PP)2-IP3 by IP6K1/2 in the nucleus",LMP001434,inositol hexakisphosphate kinase 2,Homo sapiens,IP6K2,5-PP-IP4,"1,5-(PP)2-IP3"
R-HSA-1855178,Glc6P is isomerised to I3P by ISYNA1 in the cytosol,LMP000581,inositol-3-phosphate synthase 1,Homo sapiens,ISYNA1,D-glucose-6-phosphate(Glc6P),I3P
R-HSA-194632,"Zymosterone (cholesta-8(9),24-dien-3-one) is reduced to zymosterol (cholesta-8(9),24-dien-3beta-ol)",LMP001984,hydroxysteroid (17-beta) dehydrogenase 7,Homo sapiens,HSD17B7,"Zymosterone (cholesta-8(9),24-dien-3-one)","zymosterol (cholesta-8(9),24-dien-3beta-ol)"
R-HSA-194689,"4-methylcholesta-8(9),24-dien-3-one is reduced to 4-methylcholesta-8(9),24-dien-3beta-ol",LMP001984,hydroxysteroid (17-beta) dehydrogenase 7,Homo sapiens,HSD17B7,"4-methylcholesta-8(9),24-dien-3-one","4-methylcholesta-8(9),24-dien-3beta-ol"
R-HSA-6813740,GDE1 hydrolyzes GroPIns,LMP002369,glycerophosphodiester phosphodiesterase 1,Homo sapiens,GDE1,sn-glycero-3-phospho-1D-myo-inositol,Glycerol-3-phosphate
R-HSA-6813740,GDE1 hydrolyzes GroPIns,LMP002369,glycerophosphodiester phosphodiesterase 1,Homo sapiens,GDE1,sn-glycero-3-phospho-1D-myo-inositol,Inositol
R-HSA-71397,lipo-PDH decarboxylates PYR to Ac-CoA,LMP005062,pyruvate dehydrogenase (lipoamide) beta,Homo sapiens,PDHB,Pyruvate,Acetyl coenzyme A
R-HSA-201035,"ACSL1,3,5,6 ligate CoA to PALM to form PALM-CoA",LMP001504,acyl-CoA synthetase long-chain family member 5,Homo sapiens,ACSL5,palmitic acid,palmitoyl-CoA
R-HSA-1675949,"PI(3,4,5)P3 is dephosphorylated to PI(3,4)P2 by INPP5[2] at the plasma membrane",LMP002367,inositol polyphosphate-5-phosphatase K,Homo sapiens,INPP5K,"PI(3,4,5)P3","PI(3,4)P2"
R-HSA-1676177,"PI(4,5)P2 is dephosphorylated to PI4P by SYNJ/INPP5[1] at the plasma membrane",LMP002367,inositol polyphosphate-5-phosphatase K,Homo sapiens,INPP5K,"PI(4,5)P2",PI4P
R-HSA-389639,phytanoyl-CoA + 2-oxoglutarate + O2 => 2-hydroxyphytanoyl-CoA + succinate + CO2,LMP000590,phytanoyl-CoA 2-hydroxylase,Homo sapiens,PHYH,phytanoyl-CoA,2-hydroxyphytanoyl-CoA
R-HSA-389639,phytanoyl-CoA + 2-oxoglutarate + O2 => 2-hydroxyphytanoyl-CoA + succinate + CO2,LMP000590,phytanoyl-CoA 2-hydroxylase,Homo sapiens,PHYH,2-oxoglutarate,succinate
R-HSA-162730,phosphatidylinositol + UDP-N-acetyl-D-glucosamine -> N-acetylglucosaminyl-PI + UDP,LMP001689,"phosphatidylinositol glycan anchor biosynthesis, class A",Homo sapiens,PIGA,PI,N-acetylglucosaminyl-PI
R-HSA-162730,phosphatidylinositol + UDP-N-acetyl-D-glucosamine -> N-acetylglucosaminyl-PI + UDP,LMP001689,"phosphatidylinositol glycan anchor biosynthesis, class A",Homo sapiens,PIGA,UDP-N-acetyl-D-glucosamine,N-acetylglucosaminyl-PI
