"","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"PE 22:6_22:6",1653896,1908583,1220104,1773852,2130553,1752423,1981274,2642643,1911478,2409506,2199974,1749342
"PE 44:12|PE 22:6_22:6",2102690,2083627,3170570,2150184,2466311,2261950,2200738,2366840,2133740,2393357,2348661,2414338
"PI 34:1|PI 16:0_18:1",24359336,32821368,95158432,14365655,50805628,24321360,53412080,100246000,109368088,57308552,58994644,125734640
"PE 16:4_28:7",2328258,2359785,1995562,2743394,2030959,2178868,1908403,2653641,1967353,2572453,1889579,1675774
"PE 44:11|PE 22:5_22:6",480358,326063,831708,1093170,1066709,1033788,930806,887971,741292,485683,778566,1014451
"PG 42:11|PG 20:5_22:6",4576005,5585176,7101452,8580408,9497073,8953523,3001833,2722683,2500772,2802754,2435166,2154750
"SM 40:5;3O",2346358,2838263,2685411,2815754,2473524,2766514,3419129,2897958,2583922,2267496,2244083,2182414
"PG 42:10|PG 20:5_22:5",958882,1119941,1419007,2026640,3442142,3421967,526833,484685,574094,372141,155893,181299
"SM 8:1;2O/34:9",8278888,8933540,7008962,10544268,7741398,9203135,10188878,8151912,8254589,8852174,9559221,7502879
"SM 8:0;2O/34:9",3798.4,3798.4,3798.4,115226,532223,1756652,18992,81819,300293,538876,662830,381076
"PG 42:8|PG 20:4_22:4",1079313,1551720,1763195,3430749,3670273,3708847,558794,914961,532376,439884,479692,470889
"PE 8:0_36:6",689834,998560,1268757,801087,1199812,1172970,615494,676094,449145,431677,641471,620099
"PE 22:1_22:5",138738,1208015,7558,2744310,3887442,2260349,60083,1930450,3190201,2439493,2574100,3446240
"PI 16:4_20:5",3741220,4008142,7150538,3893695,5770061,5571984,4466710,4612532,4838962,6862809,6117382,7272054
"SM 8:0;2O/34:7",2239350,2061581,1835725,1535151,1861005,275491,1721717,1628039,1540090,200409,1431356,809773
"PC 18:2_20:5",955110,1359977,4770688,9553882,12351492,8216149,3709968,1429105,3836549,1247329,3057756,2758299
"PC 16:1_22:6",3090645,4950845,684042,1021942,9954423,272400,382227,2996772,287562,5413760,141875,143764
"LPC 38:0",11884102,14246076,12670803,12845719,13898627,13751936,11808019,10293500,10074783,10968836,11199852,11870392
"PI 16:3_20:5",3213689,2909989,2653379,3125319,3132179,2437712,3638878,3207928,2840529,3392806,3016013,2823068
"PG 16:2_26:4",2103544,1310086,30975,2671825,1291684,799564,2084730,2063752,1854016,1851657,1214839,1688208
"SM 42:6;2O|SM 16:2;2O/26:4",4575650,4243495,5783992,9039420,8446939,8245264,1531726,1827595,2039170,1898966,1853042,1556670
"SM 40:0;3O",342210,462411,706816,197112,643267,141377,705222,960591,1251500,912233,1299090,1028245
"PC 38:6|PC 18:2_20:4",11174803,9809321,17451824,12304656,20476110,16365514,10009948,12182964,2026221,11064299,12701293,11404822
"PC 16:1_22:5",256534,311930,273930,2090207,678478,2045598,266523,283012,332871,214363,362946,727125
"PE 8:0_36:4",336707,188124,935125,1332706,845877,223106,609493,441910,295278,197398,132160,440995
"PI 14:1_22:6",1520908,1860894,1897559,71060,1687071,1418823,1377480,1749696,1601678,1847255,1812040,1525129
"PA 26:4_22:6",2754143,2835569,2244609,2458476,1907420,1934562,2673396,2598936,2388542,2463938,2082800,2414486
"PC 18:1_20:4",14545297,4627313,19073750,24698896,33153032,25431416,13398598,14823457,15992625,9221526,6766916,4264458
"PC 38:5|PC 16:1_22:4",14586951,14520636,19772102,26730862,32777614,25431414,11750079,15945311,15660146,6228716,10809985,16053002
"PC 18:0_20:5",7304413,7955732,9695373,8864216,9890988,10141376,11345115,10829308,11023862,10626603,12163029,10650341
"PG 16:0_26:4",366932,275722,125581,435464,560740,723955,755391,563926,270607,265041,307683,568930
"PC 18:0_20:4",47165848,52345288,57460888,52768940,62988688,60873924,71376544,71180904,64996760,71003808,68941176,77693416
"PI 36:5|PI 16:0_20:5",4419236,5587047,7035544,4536836,4972920,4116481,4630838,4751993,4173373,4141632,4159426,3784411
"SM 8:0;2O/34:3",429636,605739,2793285,420930,2567947,578178,1746328,1583749,1809349,2005318,2830156,1741928
"PI 10:0_26:4",1737414,1218714,792923,1249718,477093,721785,1439444,762372,1026914,528094,1292207,1259834
"PI 36:4|PI 16:0_20:4",12417643,8176292,23175998,7252034,9039931,4805637,11910474,17261384,22710760,10487381,11618956,28753334
"SM 42:2;2O|SM 18:2;2O/24:0",32915506,33118406,42423504,37147528,49817324,46446596,48765504,48612004,51738164,54119340,59638248,55548372
"SM 8:0;2O/34:2",3002273,4796398,4552234,2909941,4182391,421766,5333902,1191775,451456,4224082,226493,5198170
"PI 14:0_22:3",4417568,3344911,11424100,2191318,4034134,2286304,4695389,7447111,4745452,5576094,2572776,8822552
"SM 42:1;2O|SM 24:0;2O/18:1",2742049,1895619,4341046,2695780,4424446,3713686,3331789,3475866,3791484,3202250,3154142,4004608
"LPC 40:8",24586516,27908320,32136860,24016010,24555614,22749872,26380080,26551022,24451296,23189412,25061938,25747944
"PC 38:1|PC 16:0_22:1",9791098,10379974,14378262,10686232,12511778,13063151,4998211,12903756,8336013,10708119,14290091,14327357
"PC 20:0_18:1",68529,9626,158828,1454756,5295560,1379888,2164825,1356112,4838600,6752090,619799,9192690
"PI 36:2|PI 18:1_18:1",572702976,478056576,1147006336,363870944,1016813568,599409344,700582592,1211796736,1281252608,818531968,808234944,1395332736
"SM 8:0;2O/34:0",299145,924169,497997,855032,791003,340927,406912,480340,120022,6716,1364,100396
"PC 38:0|PC 16:0_22:0",4720409,4198348,6654658,5158460,7209148,6830460,5576436,5890354,5018518,4951896,4985814,4757874
"PI 10:0_26:1",695419,859969,1936367,763097,1012178,693069,754395,1179997,1225642,1067862,737313,1169223
"PA 22:0_26:4",25799,5159.8,5159.8,31479,445062,264752,42470,295569,668465,693003,403044,708278
"PE 16:3_30:8",3197051,4090382,3194505,3238481,2049061,3013350,3851196,3962234,2895024,4331577,3378384,2959356
"PG 44:12|PG 22:6_22:6",51777576,56916060,74432776,84194080,97771504,93811024,35347536,38270628,34063360,37718232,39596624,38431392
"PA 22:1_26:2",524695,557452,785474,512050,686817,652928,476940,525424,370338,144137,332473,511002
"PE 8:0_38:9",3622256,3270721,2575560,4769932,3073846,3699891,3344803,3144405,3112024,3250649,3272710,3278611
"PG 22:5_22:5",16840414,17640300,18648718,13858498,16162076,15421963,18001000,15811618,16114789,16773984,17903152,17010848
"PG 44:10|PG 22:4_22:6",4089910,4804546,6437373,10093126,12102438,11259786,2460548,3019619,2265767,2606038,2417574,2759224
"PG 44:10|PG 22:5_22:5",488834,635926,1129684,1271111,1844399,2250786,334001,395508,295053,294150,307206,205883
"SM 42:4;3O",2009966,2063692,2554923,1788904,1745785,1731210,2306106,2372011,2186504,1853522,1907969,2005292
"PG 44:9|PG 22:4_22:5",528413,622428,667957,1175472,1594307,1003053,239970,237200,143773,283655,144407,14212
"PE 8:0_38:7",2724910,3150914,3629217,2116615,2403172,2011668,1628216,3712547,3104534,2218298,1930946,2952628
"PI 38:10",2964206,2817730,2847842,2211242,3084374,2613046,2701559,2285338,2407048,2651788,3027846,3019536
"PG 18:4_26:4",1118940,3161599,2798149,2866655,2447140,3058227,2631704,3055630,3118757,3335556,2822300,2682477
"PC 18:2_22:6",304207,45251,406456,4236363,3039220,301574,656682,355163,584703,339721,924185,793075
"PG 18:3_26:4",1457210,365604,1787330,2741918,66975,29029,2008162,133616,1256411,120964,31440,86860
"PC 20:3_20:4",2043776,1582541,2471440,3045907,3409301,2298314,3035295,3239824,3465269,3151712,3105414,3891117
"PI 16:2_22:6",1264771,1214084,1268425,62205,1177101,896211,1057767,1270679,1114612,994334,917808,1344921
"SM 8:0;2O/36:6",1162589,936280,1438475,1232777,1454008,1203244,51833,555108,259165,559023,727333,439822
"PI 16:1_22:6",1505836,1135303,67435,1146149,972942,915896,779309,1391282,1392643,1094623,1086478,1600532
"SM 44:5;2O",992174,1174497,726606,1879645,2105583,1605928,785253,736490,586202,676985,746970,699461
"PI 38:6|PI 18:2_20:4",3208353,2588264,7144473,4138737,15434006,8636652,2632014,3851133,2984151,3456963,3534900,4250027
"PG 20:2_24:2",302938,18631,113046,296772,516561,193592,588461,636478,859175,1428573,1179556,170404
"SM 8:0;2O/36:4",580017,793680,932777,887688,725186,523703,495473,561304,559675,574887,646971,219032
"LPC 42:11",367312,405806,522359,488569,739996,439415,363356,161850,81511,123310,166865,163838
"PC 20:1_20:3",783280,3598353,2167853,3061811,3676240,2596148,2115075,4755021,3552832,4852246,4158918,3151385
"PE 8:0_38:2",2196308,2027054,3572744,2832489,4323370,4124214,3865902,4063425,3501990,3586254,4541544,4107724
"PI 14:1_24:4",262940,363009,1193434,123703,595609,1589215,276684,218502,305461,212513,544450,272396
"PI 38:5|PI 18:0_20:5",54960676,51668132,94213864,44335904,90161160,57734036,48216656,67247696,74969888,57791892,55609888,80789232
"PG 18:1_26:2",4451784,4805487,5569720,3795698,4398006,3519881,4323621,5758938,4704351,2961256,4087893,4403854
"SM 44:3;2O",435643,2513394,691143,2024019,2993093,1965019,5348246,5772714,5084388,5397320,6109283,5803039
"PS 26:4_18:5",8550536,8745726,8750196,7103258,6100098,5638892,8663366,8557359,8178231,7873010,8248877,8812359
"PC 18:1_22:2",1961730,2242292,2473513,8180572,9947682,8159468,725245,3324449,3363835,2746898,3009590,3252796
"SM 44:2;2O",4170760,2578796,6692456,4856006,7272988,6165022,6755462,6865166,6676454,6125006,5357678,5494906
"PI 38:2|PI 18:1_20:1",10890585,8677264,22353408,8040280,25270218,13253047,16210895,29438776,30345772,15641353,13763749,35043636
"PG 22:0_22:0",1385213,1211864,1772938,1760215,2879366,2017658,1512046,1578319,1350172,1343494,1159523,1007762
"PI 38:1|PI 18:0_20:1",1253813,1335302,2628516,772872,4500900,1464556,1981098,8089006,8015744,2421468,3028053,9527263
"PI 12:0_26:1",1332542,1152432,1058685,584224,1224819,900782,1163671,459316,777023,167622,1124065,159949
"PA 24:0_26:4",179588,272886,250795,84126,192380,173467,224174,55794,170013,16636,188662,34307
"PE 8:0_40:10",301288,275846,3775350,256873,3359414,2708893,3188061,3265167,3696018,3200644,3473725,3908847
"SM 44:5;3O",9365457,12207409,13190228,9316305,11379937,9523541,10456921,11844165,10767198,8031879,8985389,10440824
"PC 20:5_22:6",65839,30867,211266,532324,997726,759971,536620,365236,552680,425703,233453,360989
"SM 16:3;2O/30:7",257696,100502,126321,306933,3302593,6435917,1398769,4232884,767512,3907303,5334376,1937506
"PC 20:4_22:6",3426319,3397290,4692110,7913632,9584010,8386591,6320502,5872758,6298306,5889284,6383960,5602755
"PC 16:3_26:7",1310522,1456563,1394056,939368,1070902,821767,1028629,819148,1058909,703078,1192388,1102632
"PE 8:0_40:8",688321,1054138,530491,2256615,4397514,5116638,1786744,3164733,3867213,5891556,5701974,4260245
"SM 8:0;2O/38:9",14496.8,14496.8,72484,1087086,1163672,2035548,616415,1084266,1643074,2394822,2311068,1131594
"PC 20:3_22:6",1465505,1203367,2387133,3447077,6867502,4711954,3155501,2666034,2701901,2963375,3224820,3910827
"PC 8:0_34:9",583998,756814,530596,486441,546153,539366,242951,244420,173654,127289,331307,498565
"SM 8:0;2O/38:8",574115,914122,2777411,7909099,10553545,16345417,3368028,8250590,10626972,18121244,12904120,7759081
"PE 8:0_40:6",136460,164927,165208,232588,1164072,1573492,557101,1267065,936602,1279355,2066592,2307875
"PC 20:1_22:6",599193,1235762,1333568,2265336,2244368,2272188,1802671,1900792,890882,1442892,960892,1505531
"PE 8:0_40:5",948057,555997,429828,1425942,1921318,4874076,1608085,2204465,4443392,4423479,3756121,4372900
"PI 40:8|PI 20:4_20:4",682176,643217,1041254,737040,1188348,1085589,931688,1280450,888601,457613,1174422,1084341
"PG 20:2_26:4",167651,276206,300621,841269,869124,997798,50840,23857,38631,4771.4,31095,4771.4
"PC 18:1_24:5",3083303,2851507,3739983,9979486,10084059,10243536,925925,784528,906537,685286,747544,1060451
"PC 20:1_22:5",602566,851200,1664351,1605990,1764558,1388157,1356243,1524552,1182316,1020243,1395636,1251264
"PI 40:7|PI 18:1_22:6",6065260,6688287,11106824,5245770,16459996,10769015,8504951,10889671,10973791,9794204,11004559,12766393
"PG 20:1_26:4",1439746,1777272,1606195,2423376,2545808,2097476,500983,4144090,4006104,3325040,3493941,4425323
"PC 18:1_24:4",2700764,2331506,402851,14223061,14663201,11607207,1107916,1411412,1050878,1046892,1265652,1150935
"PI 40:6|PI 18:0_22:6",39086272,35078120,84925736,26245410,63910052,37235892,43072700,65820096,64787712,45925868,50335476,78071896
"PI 16:2_24:4",1278102,1475709,805563,1211262,574120,539572,285336,594894,373066,69556,212706,885040
"PC 18:1_24:3",6088,6088,197355,867179,1268836,816552,165146,180835,6088,45304,123289,30440
"PI 14:1_26:4",969216,500526,2624873,778386,2561308,1286812,388205,2026440,1952667,1170457,1237358,2751217
"PI 40:5|PI 18:0_22:5",57469240,48965800,103739160,37233996,92333704,58074248,59414464,89482928,91910440,69083840,66765088,107417104
"PI 40:5|PI 18:1_22:4",11030858,10343442,21792822,12913180,34103224,21923222,12427264,20953700,18708316,14886887,15724901,24341764
"PI 40:4|PI 20:0_20:4",363822,85244,262211,446233,2461547,875580,302860,1100228,1282867,877199,601038,1986648
"PI 40:4|PI 18:0_22:4",20492168,16553828,40493432,17292828,44797588,26755728,21619938,40283552,40479080,24925474,22263872,43277908
"PI 40:3|PI 18:0_22:3",1205275,723021,3639656,76306,4007848,1625430,1904036,3835424,3669526,1839450,1690375,4172249
"LPC 44:8",52799,362779,779009,317622,219549,275490,357727,230045,483559,380895,596792,293748
"PC 8:0_34:1",577287,442485,498824,431306,486515,209233,129507,125883,91170,78442,255315,14047
"PI 14:0_26:2",480448,659664,577554,253127,335966,282473,293256,458916,321213,527277,516811,423615
"LPC 44:7",688394,844584,879254,817320,830866,759756,1232230,950055,1537376,1403020,1098572,1227368
"PI 18:0_22:1",546121,479147,997246,617290,1821334,1073524,223968,225898,251480,177468,241025,226017
"SM 46:7;3O",444.2,444.2,444.2,444.2,2221,1415446,444.2,3173,444.2,444.2,19855,59493
"SM 46:6;3O",384688,501647,353633,401825,329675,377510,452692,647238,328695,467310,843713,733974
"PC 22:6_22:6",507386,427651,920534,1495131,1543758,1668421,1129076,1163645,1144974,1068462,1640628,978400
"PC 22:5_22:5",195082,268417,729396,643326,1137020,728634,544733,562576,408739,495418,663628,329129
"PC 8:0_36:10",179606,215613,381777,772271,1180812,765765,20723.6,246554,103618,20723.6,182705,154068
"PG 26:4_22:5",257891,150572,572634,317587,1047785,1419732,819704,531155,689431,1336740,336238,371680
"PE 8:0_42:7",546823,599874,833007,748922,420372,720738,1075355,1159294,790480,378462,1347873,1015070
"SM 8:0;2O/40:8",1885009,180231,151441,2648,1610155,1846785,1145561,6428660,2043456,1398695,5048160,7083451
"PC 8:0_36:7",9242000,13280541,14148474,15167787,15899302,14791813,5953135,7137482,6034624,5391165,6238787,6057912
"PG 22:0_26:4",4995984,3844796,3874989,9067215,11489778,27623838,8404739,13101135,22852634,25171046,21451468,21933366
"PE 8:0_42:2",576692,741998,1082138,298954,1093172,356074,317448,979875,985973,321592,548515,1132090
"PI 16:1_26:4",2065328,2298143,2178740,1731017,1869507,1624562,1538943,2195389,1880234,1010487,1569060,1876900
"SM 48:10;3O",3341418,3522652,3929324,2537634,2768661,2726698,3983787,4263870,4711942,3776373,4082691,3918351
"PI 16:1_26:2",682857,565479,632825,396178,414743,650122,636001,882810,1002612,698897,534666,780036
"PE 16:3_36:10",636805,524786,603650,110471,165469,320839,652477,573021,744146,841412,1149920,731797
"PI 16:0_26:2",1451970,1632953,1829942,1616904,1522417,1505010,1459983,1831944,1750159,1340727,1307879,1780163
"PE 8:0_44:10",29826.8,29826.8,149134,1055266,1767020,3167710,165008,1704248,1502972,2430267,2882482,1250928
"SM 8:0;2O/42:10",270,270,270,1350,450238,2354405,69935,425519,882574,975272,686876,1332076
"SM 8:0;2O/42:8",715.6,715.6,715.6,3578,715.6,1641997,715.6,715.6,715.6,715.6,103839,715.6
"PE 8:0_44:6",759357,1254258,826848,321616,963517,286275,803208,103610,85970,506936,39200,781552
"PI 26:4_18:5",5832790,4503041,11094199,4167842,11436862,5298134,5618764,13405328,13619428,5667582,5224819,14470373
"PC 8:0_38:7",3123659,3023156,4221436,3822871,5122913,4227475,1522561,1959365,901649,1425583,596897,1252119
"PE 32:1_20:4",676584,824904,1144143,853886,2023718,1195401,1021902,1922502,1781546,1440620,1320923,1536251
"SM 8:0;2O/42:6",315902,535758,712331,613814,918573,531791,438739,808665,838875,812554,643429,976625
"PC 8:0_38:6",5337259,6206561,7713774,5375274,6365162,5720144,4094122,5042093,3688674,3642159,3743385,3898431
"PI 18:3_26:4",531126,273207,602779,532350,482637,361492,98792,921217,829987,385984,586818,1131205
"PE 18:1_34:2",909528,634556,1670219,415530,1142203,733717,782158,1773147,1538589,774365,781779,1910693
"PG 24:0_26:4",133072,143388,26614.4,273154,1056713,1604237,369454,482576,819547,1395181,1703084,1594536
"PG 24:1_26:2",2892558,2386558,3218194,2756644,2586880,2884036,3353795,2845510,2992966,3174283,2991519,2962737
"PE 8:0_44:1",735750,24833,62347,17988,3359.8,3359.8,245989,242398,3359.8,16799,3359.8,101680
"PC 8:0_38:2",23261.6,23261.6,23261.6,23261.6,23261.6,634773,23261.6,116308,23261.6,306186,170565,23261.6
"PI 18:1_26:2",6422966,7662400,8778819,5918517,6611431,6127997,8328968,8362546,7893372,8792770,8471661,8537953
"PE 16:3_38:10",4306723,4591332,5173046,4044619,4425781,3927968,5747723,5228798,4573480,1866123,2038934,6362546
"PE 10:0_44:12",853800,908532,1180277,1012250,1073276,631424,938030,1150519,933004,448847,742851,612278
"PC 16:4_32:9",594576,328904,944141,734301,888333,495637,97147,149130,142287,19429.4,109262,19429.4
"SM 8:0;2O/44:11",2814,562.8,562.8,562.8,337358,1916317,242188,301950,562.8,667593,392117,460443
"SM 12:0;2O/40:10",105860,64922,137221,66003,796005,1035302,527001,850764,265471,1474921,1136292,568140
"PC 8:0_40:10",515866,433815,922471,125782,2589168,413802,1461933,1444891,1753174,694044,1086525,222193
"PE 10:0_44:7",553934,463648,650999,409568,986057,384577,436521,1121661,798954,682449,645195,838936
"SM 14:0;2O/38:8",14651,217.8,217.8,217.8,197775,1954740,1089,330287,98198,564849,387564,91193
"PE 34:2_20:4",726796,1284046,2000855,1802018,3524157,2515960,2498184,3944584,3096563,3240016,2799490,3715710
"PE 34:1_20:4",1414180,771525,2319584,854276,1429935,712185,958106,1728435,1663388,1096746,1047438,1932639
"PG 26:2_26:4",1844563,1279365,509789,1013264,1310190,483876,2919877,1735132,2599002,1820410,2573331,1969066
"PI 20:3_26:4",1046636,1183798,1249918,1384535,1441585,1163043,330360,2456703,2003523,1549785,1745872,2398340
"PE 10:0_44:2",279505,250742,372071,233495,8720,8720,8720,8720,43855,8720,43600,70846
"PC 8:0_40:2",826122,311605,1054050,322184,139184,362365,66011,319755,619859,275522,207302,185817
"PG 26:0_26:1",1010179,594536,914977,903787,181223,521636,339692,457998,468479,255292,451121,228052
"SM 8:1;2O/44:0",554420,324520,199700,70655,243854,531062,334837,290276,273835,612509,535540,709123
"PC 8:0_40:1",328145,107114,80785,198490,65149,126274,46699,71818,99390,23018,16300,43227
"PE 12:0_44:11",58207,37086,20562,484523,1565108,650530,135695,886353,516593,1318392,926450,75828
"SM 52:6;3O",415,415,415,2075,508385,703483,165689,935094,184333,323018,815269,67052
"PC 20:2_30:8",74051,14810.2,14810.2,14810.2,1033875,4836202,545321,167867,127082,1132238,603200,402350
"PE 12:0_44:7",1318709,1277869,1444028,563223,1704720,883036,1483789,3523160,3270928,2220422,1722815,3170114
"PE 34:2_22:5",353487,852384,900451,719792,1654007,1590111,1190866,1908869,1780973,1453343,1354726,1774678
"PE 34:1_22:5",1761504,1414699,2652703,958576,1973838,1024072,1180114,2092618,1976093,1429650,1061235,2235785
"PC 8:0_42:6",16887160,14661856,22471080,19897010,30658238,26921394,16721596,20969330,17647500,13752301,13165388,12941469
"PI 22:3_26:4",272942,66910,698413,782800,37242,11584,711.6,711.6,711.6,65143,711.6,3558
"PI 22:0_26:4",38672,180460,222788,226368,204739,7734.4,66689,7734.4,7734.4,7734.4,7734.4,7734.4
"SM 14:3;2O/42:12",22594.8,22594.8,22594.8,22594.8,112974,3476745,22594.8,22594.8,132761,389907,306437,679254
"SM 54:9;3O",1678421,2068974,2327486,1819640,2176320,1961326,2434827,1795579,2125406,1950679,1779517,2211264
"PE 14:0_44:12",66036,5703,59249,12724,254472,399220,1985,288650,235684,378431,717322,83603
"PC 8:0_44:10",695929,699637,1081756,798673,588663,790697,641428,957308,535857,409120,835181,559993
"SM 12:0;2O/44:9",455329,480150,1671027,185277,1083029,908243,1110997,2254091,1583942,1239694,1453078,2375478
"PE 14:0_44:6",12780,12780,12780,120303,471593,764004,63900,157896,92419,185501,388317,761189
"PC 8:0_44:7",672494,642369,995009,781646,1146477,732082,912598,1052048,460522,570181,579766,523926
"PC 8:0_44:5",1484.2,7421,59487,454392,1732715,3121819,509317,2294818,1828644,2861050,2823642,2589280
"SM 56:12;3O",1513185,924854,442036,852465,1079487,746795,2345932,1700561,2343156,895596,2305840,1817260
"PE 16:4_44:12",1615689,2669110,1275937,1530708,1473886,1855153,1579721,1595143,1267256,1137079,697255,991182
"PC 8:0_44:4",54444,80094,10888.8,431515,958975,1653582,393310,1073296,1254974,2141702,1752554,2159081
"PC 8:0_44:3",528568,259040,270989,604682,2196591,3160674,668393,1227999,582542,1518350,2765078,2773836
"SM 12:0;2O/44:2",1147412,607219,284811,540282,944303,569175,676841,381101,458668,333221,664891,416939
"PC 18:5_36:10",4318850,4771098,6006445,423528,4634592,4640973,3324932,4072168,3638607,3439605,3564868,3124942
"PC 16:4_38:10",3238213,3426925,4277132,3323259,3542186,3522923,2638033,2896531,2404322,1687887,1886209,2086656
"SM 56:1;3O",512190,563915,557033,619950,366412,225975,248865,1074664,712691,202650,396333,258284
"PC 16:4_40:11",9828485,11741111,16471381,9192885,12372952,10868877,7826984,11709030,8363648,6774985,10232759,11524605
"PC 14:1_42:12",119739,188472,102959,213389,1627990,2531214,659526,987434,562655,1218435,711466,536370
"PE 22:6_42:12",538851,116039,422292,596966,214100,520980,604557,240497,458481,402723,549905,436713
"PC 14:0_44:12",992955,129955,117786,129754,706066,1244613,2824960,429104,968423,2740879,2030616,2695233
"PE 20:0_44:6",38662,7732.4,7732.4,165395,166943,1018918,7732.4,355407,520417,722986,679364,519687
"PE 22:6_44:12",4511312,4177680,4999237,511938,4641978,3839814,4678122,4703934,4350632,4408906,4827523,4607064
"PC 14:0_44:5",75534,11874.6,59373,162496,322433,731612,163958,376457,384981,871387,885590,848786
"PE 22:4_44:12",2038642,2808725,1532192,2539553,2718254,545040,555018,698008,1119169,330914,399438,446454
"PC 18:5_42:12",292996,343946,315434,775476,555729,494401,634374,329605,531696,474139,744332,1057196
"PC 14:0_44:3",84025,2912.6,14563,142992,425506,698893,46027,271947,304443,542849,596966,563525
"PC 16:0_44:12",11390.6,11390.6,11390.6,11390.6,56953,1324846,11390.6,11390.6,11390.6,11390.6,11390.6,11390.6
"PE 22:0_44:8",8051.6,8051.6,8051.6,167873,167970,736781,40258,181798,446736,786523,202856,395845
"PE 22:0_44:6",30396,3397.2,16986,125690,172046,461805,52403,170160,262494,431596,316908,329918
"PE 24:2_44:12",5171.4,5171.4,5171.4,92304,32364,25857,67063,191646,131256,242541,95370,277717
"PC 20:4_44:12",385849,260590,476378,471488,647816,473014,254519,353374,486401,45390,311259,292201
"CL 14:0_14:0_18:3_18:5",3732540,3893371,3977436,3746434,3586758,3151761,2188206,1647188,2219477,1769101,3247610,1944845
"DG 30:2",182556720,55529160,53904504,197728608,1027650304,861752448,578106176,630340672,410736416,1174724480,582687424,897394624
"DG 32:0",36538444,23114460,20265474,53023176,159446544,157691216,128488744,99833400,93121480,223236848,137283152,164754176
"DG 34:1",255844912,250564608,238796544,245956304,389130976,439403552,415002816,380537984,345668672,665612544,354762304,483023424
"DG 34:2",431220672,395713920,315678784,418320960,729842048,750585664,846833472,778026176,678901696,1105978240,785849728,1017352384
"DG 34:2|DG 16:0_18:2",180810080,159669360,115546000,869478016,2202800384,2106950016,2403907840,1988433792,1714945408,3250553856,2326801408,2884902656
"DG 34:3",15121458,10811109,6260972,17878218,45631040,48255176,36770696,33303798,32675060,66638628,35454820,50920020
"DG 36:1",436121536,461803008,435349952,420606272,633797248,607637632,786218432,669493824,553827072,805953024,599706816,761309888
"DG 36:2",1821741312,2040349184,2121269760,944859008,1194427776,1240201600,2431608832,2278284288,2034550144,1916588160,2077090944,2499891968
"DG 36:3",238908656,204785440,162725984,249587760,500311040,474844032,513089760,436901696,387973728,726256128,533271968,651113856
"DG 36:3|DG 18:0_18:3",180553120,177475216,152943056,237327552,488170688,447045472,434265344,362551808,321700160,553344384,395244800,496644928
"DG 36:3|DG 18:1_18:2",508937440,460526848,373130336,614822656,1760836352,1624608256,1643561472,1316782464,1169508864,2562424576,1688963200,2200322304
"DG 36:4|DG 18:2_18:2",843300416,980221248,890231680,723078336,1056957248,916703680,929420608,829523520,848352512,1268818432,973948288,1028252928
"DG 36:5",20666900,17288486,12304814,41474120,51138624,93149696,48684668,35277764,32132714,78060048,38858048,50746032
"DG 36:6|DG 18:3_18:3",45335236,54204424,52577096,76471080,101013736,79903320,90103712,90689048,84585840,83959656,93617728,92807472
"DG 38:10",8931452,10781887,11758501,12318613,12924449,13032903,9290550,8474379,10452960,24209384,16719517,11714984
"DG 38:2",188409248,210513568,242741808,131049424,137903024,117547464,299922464,304367104,245385088,262348784,247377120,294418784
"DG 38:3",129307072,154714928,158925952,60526336,78602792,64611444,261465296,224610672,214896448,291889376,261034720,309782816
"DG 38:4",106521392,133466872,115150560,68839344,55665140,71505072,142535456,122314432,114647080,139979968,133363784,156272032
"DG 38:5",84256400,98152216,97631392,58339832,51383552,48153704,139589440,132199832,127086392,139492128,115602472,139371808
"DG 38:7",1279718,1471128,734272,2266890,11444536,12301222,6275994,15776107,7680620,20234902,14670221,7396093
"DG 38:9",26182412,31682452,32652250,29473718,30442936,29211902,1359144,1918488,1749555,4733442,1890516,2144198
"DG 40:11",25325472,29825186,29340894,27254150,21472324,18575398,225642,1657797,929878,510887,702657,838503
"DG 40:5",80528912,93691688,103926288,52911932,51299656,38308464,96111504,93266128,77925600,82491712,79788128,102973768
"DG 40:7",41609696,46610284,41486960,21973254,21784992,45292456,57631400,49509956,55477776,60937272,62896524,58836572
"DG 40:8",11464678,8563896,6613766,17982670,65205636,90280720,43569080,63026452,29935666,68781528,81518640,49003816
"FA 22:5",7429925,8963560,9818347,7408595,8861064,6202764,12793932,12270175,6790170,13532191,12184867,12913208
"FA 36:5",44994896,44243460,69766112,42855860,42966888,65089236,39116896,49509752,37527876,43588568,59520164,66190116
"LPE 16:0",6722719,7910428,9213978,4686876,10707024,7805062,13739575,11996446,14044904,10199259,11253073,13232446
"LPE 20:5",345271,562227,884089,908092,1912459,2064632,1236407,1393365,1931973,1523866,1354720,1974938
"PC 30:0|PC 14:0_16:0",3062713856,3172866048,3870107392,3661093888,3998025216,4287165440,4573789184,4624157184,4134999296,4578177536,4856773120,4631597056
"PC 30:1|PC 14:0_16:1",359923488,406923680,522332800,563447424,661032768,623064320,403062400,420954944,369025184,384660576,425817888,404644608
"PC 30:2",14201673,17343928,17510638,14953576,10786833,9355624,3542985,3383256,4839577,1483372,1859728,4122860
